Property	Data Object Type	Optional/Required	Source	$id	Description	Title
identifier	biosampleMeta	required	From Yi FDA	#root/identifier	"Unique Identifier For Each Sample. The same identifier is used for each assembly because within the scope of the original ARGOS study, each sample only have one associated assembly."	identifier
isolation_provider_name	biosampleMeta	required	From Yi FDA first & last_name from NCBI biosample page	#root/isolation_provider_name	Name of the provider from which the biological sample was derived.	isolation provider name
email	biosampleMeta	required	from NCBI biosample submission page	#root/email	Email obtained from the BioSample submission page.	email
submitting_organization	biosampleMeta	required	from NCBI biosample submission page	#root/submitting_organization	Name of organization that is submitting the BioSample.	submitting organization
department	biosampleMeta	required	from NCBI biosample submission page	#root/department	Name of department that is submitting the BioSample.	department
street	biosampleMeta	required	from NCBI biosample submission page	#root/street	Street name of the organization submitting the BioSample.	street
city	biosampleMeta	required	from NCBI biosample submission page	#root/city	City name of the organization submitting the BioSample.	city
state/province	biosampleMeta	required	from NCBI biosample submission page	#root/state/province	State or province of the organization submitting the BioSample.	state/province
postal_code	biosampleMeta	required	from NCBI biosample submission page	#root/postal_code	Postal Code of the organization submitting the BioSample.	postal code
country	biosampleMeta	required	from NCBI biosample submission page	#root/country	Country name of the organization submitting the BioSample.	country
sample_name	biosampleMeta	required	from NCBI biosample submission page	#root/sample_name	Name of the sample given by the submitter of the BioSample.	sample name
organism	biosampleMeta	required	from NCBI biosample submission page; organism_name From Yi FDA	#root/organism	Name of the expected organism. This is determined prior to sequencing.	organism
strain	biosampleMeta	required	from NCBI biosample submission page; strain_name From Yi FDA	#root/strain	Strain name of the organism of interest.	strain
collection_date	biosampleMeta	required	from NCBI biosample submission page	#root/collection_date	The date on which the sample was collected.	collection date
geo_loc_name	biosampleMeta	required	From NCBI BioSample Attributes from NCBI biosample submission page	#root/geo_loc_name	Geographical origin of the sample.	geographic location name
isolation_source	biosampleMeta	required	from NCBI biosample submission page	#root/isolation_source	"Describes the physical, environmental and/or local geographical source of the biological sample from which the sample was derived."	isolation source
host	biosampleMeta	required	from NCBI biosample submission page host From Yi FDA	#root/host	The natural host to the organism from which the sample was obtained.	host
lineage	biosampleMeta	optional	Raja; https://cov-lineages.org/	#root/lineage	"The Pango nomenclature is being used by researchers and public health agencies worldwide to track the transmission and spread of SARS-CoV-2, including variants of concern. This website documents all current Pango lineages and their spread, as well as various software tools which can be used by researchers to perform analyses on SARS-COV-2 sequence data. https://cov-lineages.org/index.html#about"	lineage
isolate	biosampleMeta	optional	from NCBI biosample submission page	#root/isolate	Identification or description of the specific individual from which this sample was obtained.	isolate
id_method	biosampleMeta	optional	From Yi FDA	#root/id_method	Species identification method.	ID method
sample_type	biosampleMeta	optional	From Yi FDA	#root/sample_type	Type of sample used for the BioSample submission.	sample type
isolation_acquisition_id	biosampleMeta	optional	From Yi FDA	#root/isolation_acquisition_id	Acquisition identifier for obtained isolate.	isolation aquisition ID
ncbi_taxonomy_id	biosampleMeta	optional	From Yi FDA	#root/ncbi_taxonomy_id	NCBI taxonomy ID of the organism.	NCBI taxonomy ID
contact_name	biosampleMeta	optional	From Yi FDA	#root/contact_name	Contact name associated with the BioSample.	contact name
clinical/environmental	biosampleMeta	optional	From Yi FDA	#root/clinical/environmental	Additional metadata on the use of this BioSample.	clinical/environmental
gisaid_accession	biosampleMeta	optional	From NCBI BioSample Attributes	#root/gisaid_accession	"The GISAID accession assigned to the sequence. GISAID Accession Numbers are used as unique and permanent identifiers for each virus beginning with the letters EPI and followed by numbers, to identify viruses and or/ segments."	GISAID accession
gisaid_virus_name	biosampleMeta	optional	From NCBI BioSample Attributes	#root/gisaid_virus_name	The full virus name submitted to GISAID.	GISAID virus name
biomaterial_provider	biosampleMeta	optional	From NCBI BioSample Attributes	#root/biomaterial_provider	"Name and address of the lab or PI, or a culture collection identifier."	biomaterial provider
disease	biosampleMeta	optional	From NCBI BioSample Attributes	#root/disease	List of diseases diagnosed; can include multiple diagnoses.	disease
host_taxid	biosampleMeta	optional	From NCBI BioSample Attributes	#root/host_taxid	NCBI taxonomy ID of the host.	host taxid
fdaargos_biosample_id	assemblyQC	required	Raja/Vahan	#root/fdaargos_biosample_id	ARGOS BioSample identifier.	FDAARGOS BioSample ID
fdaargos_id	assemblyQC	required	Raja/Vahan	#root/fdaargos_id	ARGOS identifier.	FDAARGOS ID
genome_assembly_id	assemblyQC	required	Raja/Vahan	#root/genome_assembly_id	NCBI's Genome Assembly identifier.	genome assembly ID
num_chromosomes	assemblyQC	required	Raja/Vahan	#root/num_chromosomes	Total number of chromosomes in the genome assembly.	number of chromosomes
BCO_id	assemblyQC	required	Raja/Vahan	#root/BCO_id	BioCompute Object identifier.	BCO ID
ncbi_biosample_id	assemblyQC	optional	Raja/Vahan	#root/ncbi_biosample_id	NCBI BioSample identifier.	NCBI BioSample ID
organism_name	assemblyQC	optional	From Yi FDA	#root/organism_name	Name of the expected organism. This is determined prior to sequencing.	organism name
strain_name	assemblyQC	optional	From Yi FDA	#root/strain_name	Strain name of the organism of interest.	strain name
ncbi_taxonomy_id	assemblyQC	optional	From Yi FDA	#root/ncbi_taxonomy_id	NCBI taxonomy identifier of the organism.	NCBI taxonomy ID
id_method	assemblyQC	optional	From Yi FDA	#root/id_method	Species identification method.	ID method
sample_type	assemblyQC	optional	From Yi FDA	#root/sample_type	"Type of sample used for the BioSample submission, if applicable."	sample type
host	assemblyQC	optional	From NCBI biosample submission page & Yi FDA	#root/host	The natural host to the organism from which the sample was obtained.	host
