Property	Data Object Type	Optional/Required	$id	Title	Type	default	examples	pattern	description
sra_experiment_id	SRA_ngsQC.tsv	required	#root/sra_experiment_id	sra_experiment_id	string	-	SRR9107811	^.*$	
sra_run_id	SRA_ngsQC.tsv	required	#root/sra_run_id	sra_run_id	string	-	SRX5882434	^.*$	
biosample	SRA_ngsQC.tsv	optional	#root/biosample	biosample	string	-	SAMN11077980	^.*$	
num_of_bases	SRA_ngsQC.tsv	required	#root/num_of_bases	num_of_bases	string	-	400293278	^.*$	
file_size	SRA_ngsQC.tsv	required	#root/file_size	file_size	string	-	195921414	^.*$	
published	SRA_ngsQC.tsv	required	#root/published	published	string	-	5/22/19 16:57	^.*$	
source	SRA_ngsQC.tsv	required	#root/source	source	string	-	VIRAL RNA	^.*$	
strategy	SRA_ngsQC.tsv	required	#root/strategy	strategy	string	-	WGS	^.*$	
layout	SRA_ngsQC.tsv	required	#root/layout	layout	string	-	PAIRED	^.*$	
library_name	SRA_ngsQC.tsv	optional	#root/library_name	library_name	string	-	IL100100209	^.*$	
selection	SRA_ngsQC.tsv	optional	#root/selection	selection	string	-	cDNA	^.*$	
instrument	SRA_ngsQC.tsv	optional	#root/instrument	instrument	string	-	Illumina MiSeq	^.*$	
file_type	SRA_ngsQC.tsv	required	#root/file_type	file_type	string	-	fastq	^.*$	
reads_unaligned	SRA_ngsQC.tsv	optional	#root/reads_unaligned	reads_unaligned	string	-	61059	^.*$	
identified_reads	SRA_ngsQC.tsv	optional	#root/identified_reads	identified_reads	string	-	603880	^.*$	
taxonomy_id	SRA_ngsQC.tsv	optional	#root/taxonomy_id	taxonomy_id	string	-	64320	^.*$	
lineage	SRA_ngsQC.tsv	optional	#root/lineage	lineage	string	-	Viruses|Riboviria|Orthornavirae|Kitrinoviricota|Flasuviricetes|Amarillovirales|Flaviviridae|Flavivirus|Zika virus	^.*$	
percent_identified	SRA_ngsQC.tsv	optional	#root/percent_identified	percent_identified	string	-	0.908173532	^.*$	
gc_content	SRA_ngsQC.tsv	optional	#root/gc_content	gc_content	string	-	0.455669683	^.*$	
genome_assembly_id	SRA_assemblyQC.tsv	required	#root/genome_assembly_id	genome_assembly_id	string	-	GCA_013267415.1	^.*$	
level	SRA_assemblyQC.tsv	required	#root/level	level	string	-	Complete genome	^.*$	
assembly_level	SRA_assemblyQC.tsv	required	#root/assembly_level	assembly_level	string	-	undefined	^.*$	
num_chromosomes	SRA_assemblyQC.tsv	required	#root/num_chromosomes	num_chromosomes	string	-	1	^.*$	
biosample	SRA_assemblyQC.tsv	required	#root/biosample	biosample	string	-	SAMN11056500	^.*$	
strain	SRA_assemblyQC.tsv	required	#root/strain	strain	string	-	FDAARGOS_785	^.*$	
organism_name	SRA_assemblyQC.tsv	required	#root/Taxonomy Name	Taxonomy Name	string	-	Abiotrophia defectiva	^.*$	
bioproject	SRA_assemblyQC.tsv	required	#root/BioPproject	BioPproject	string	-	PRJNA231221	^.*$	
taxonomy_id	SRA_assemblyQC.tsv	required	#root/taxonomy_id	taxonomy_id	string	-	46125	^.*$	
lineage	SRA_assemblyQC.tsv	required	#root/lineage	lineage	string	-	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Bacilli; Lactobacillales; Aerococcaceae; Abiotrophia	^.*$	
uniprotkb_canonical_ac	sars-cov-2_lineage_mutations.tsv	required	#root/uniprotkb_canonical_ac	uniprotkb_canonical_ac	string	-	P0DTC2-1	^.*$	
found_in	sars-cov-2_lineage_mutations.tsv	required	#root/found_in	found_in	string	-	"Omicron (21K, BA.1)"	^.*$	
gene_name	sars-cov-2_lineage_mutations.tsv	required	#root/gene_name	gene_name	string	-	S	^.*$	
protein_name	sars-cov-2_lineage_mutations.tsv	required	#root/protein_name	protein_name	string	-	Spike glycoprotein	^.*$	
evidence_ECO0000313	sars-cov-2_lineage_mutations.tsv	required	#root/evidence_ECO0000313	evidence_ECO0000313	string	-	CoVariants	^.*$	
begin_aa_pos	sars-cov-2_lineage_mutations.tsv	required	#root/begin_aa_pos	begin_aa_pos	string	-	67	^.*$	
end_aa_pos	sars-cov-2_lineage_mutations.tsv	required	#root/end_aa_pos	end_aa_pos	string	-	67	^.*$	
mutation_type	sars-cov-2_lineage_mutations.tsv	required	#root/mutation_type	mutation_type	string	-	missense	^.*$	
is_known_glycoprotein	sars-cov-2_lineage_mutations.tsv	required	#root/is_known_glycoprotein	is_known_glycoprotein	string	-	yes	^.*$	
motif_start	sars-cov-2_lineage_mutations.tsv	required	#root/motif_start	motif_start	string	-	67	^.*$	
ref_motif	sars-cov-2_lineage_mutations.tsv	required	#root/ref_motif	ref_motif	string	-	A	^.*$	
alt_motif	sars-cov-2_lineage_mutations.tsv	required	#root/alt_motif	alt_motif	string	-	V	^.*$	
effect	sars-cov-2_lineage_mutations.tsv	required	#root/effect	effect	string	-	-	^.*$	
