property	data_object	required	id	title	type	default	examples	pattern	description
sra_experiment_id	SRA_ngsQC.tsv	required	#root/sra_experiment_id	sra_experiment_id	string	-	SRR9107811	^.*$	-
sra_run_id	SRA_ngsQC.tsv	required	#root/sra_run_id	sra_run_id	string	-	SRX5882434	^.*$	-
bioproject	SRA_ngsQC.tsv	required	#root/bioproject	bioproject	string	-	PRJNA231221	^.*$	-
biosample	SRA_ngsQC.tsv	optional	#root/biosample	biosample	string	-	SAMN11077980	^.*$	-
num_of_bases	SRA_ngsQC.tsv	required	#root/num_of_bases	num_of_bases	string	-	400293278	^.*$	-
file_size	SRA_ngsQC.tsv	required	#root/file_size	file_size	string	-	195921414	^.*$	-
published	SRA_ngsQC.tsv	required	#root/published	published	string	-	##########	^.*$	-
source	SRA_ngsQC.tsv	required	#root/source	source	string	-	VIRAL RNA	(Genomic DNA|GENOMIC|TRANSCRIPTOMIC|METAGENOMIC|METATRANSCRIPTOMIC|SYNTHETIC|VIRAL RNA|OTHER)	-
strategy	SRA_ngsQC.tsv	required	#root/strategy	strategy	string	-	WGS	(WGA|WGS|WXS|RNA-Seq|miRNA-Seq|WCS|CLONE|POOLCLONE|AMPLICON|CLONEEND|FINISHING|ChIP-Seq|MNase-Seq|DNase-Hypersensitivity|Bisulfite-Seq|Tn-Seq|EST|FL-cDNA|CTS|MRE-Seq|MeDIP-Seq|MBD-Seq|Synthetic-Long-Read|ATAC-seq|ChIA-PET|FAIRE-seq|Hi-C|ncRNA-Seq|RAD-Seq|RIP-Seq|SELEX|ssRNA-seq|Targeted-Capture|Tethered Chromatin Conformation Capture|OTHER)	-
layout	SRA_ngsQC.tsv	required	#root/layout	layout	string	-	PAIRED	^.*$	-
library_name	SRA_ngsQC.tsv	optional	#root/library_name	library_name	string	-	IL100100209	^.*$	-
selection	SRA_ngsQC.tsv	optional	#root/selection	selection	string	-	cDNA	(RANDOM|PCR|RANDOM PCR|RT-PCR|HMPR|MF|CF-S|CF-M|CF-H|CF-T|MDA|MSLL|cDNA|ChIP|MNase|DNAse|Hybrid Selection|Reduced Representation|Restriction Digest|5-methylcytidine antibody|MBD2 protein methyl-CpG binding domain|CAGE|RACE|size fractionation|Padlock probes capture method|other|unspecified|cDNA_oligo_dT|cDNA_randomPriming|Inverse rRNA|Oligo-dT|PolyA|repeat fractionation)	-
instrument	SRA_ngsQC.tsv	optional	#root/instrument	instrument	string	-	Illumina MiSeq	^.*$	-
file_type	SRA_ngsQC.tsv	required	#root/file_type	file_type	string	-	fastq	^.*$	-
reads_unaligned	SRA_ngsQC.tsv	optional	#root/reads_unaligned	reads_unaligned	string	-	61059	^[2-9]|[1-9]\d+$	-
identified_reads	SRA_ngsQC.tsv	optional	#root/identified_reads	identified_reads	string	-	603880	^[2-9]|[1-9]\d+$	-
taxonomy_id	SRA_ngsQC.tsv	optional	#root/taxonomy_id	taxonomy_id	string	-	64320	^[2-9]|[1-9]\d+$	-
lineage	SRA_ngsQC.tsv	optional	#root/lineage	lineage	string	-	Viruses|Riboviria|Orthornavirae|Kitrinoviricota|Flasuviricetes|Amarillovirales|Flaviviridae|Flavivirus|Zika virus	^.*$	-
percent_identified	SRA_ngsQC.tsv	optional	#root/percent_identified	percent_identified	string	-	0.90817353	^[+-]?([0]+\.?[0-9]*|\.[0-9]+)$	-
gc_content	SRA_ngsQC.tsv	optional	#root/gc_content	gc_content	string	-	0.45566968	^[+-]?([0]+\.?[0-9]*|\.[0-9]+)$	-
genome_assembly_id	SRA_assemblyQC.tsv	required	#root/genome_assembly_id	genome_assembly_id	string	-	GCA_013267415.1	^.*$	-
level	SRA_assemblyQC.tsv	required	#root/level	level	string	-	Complete genome	^.*$	-
assembly_level	SRA_assemblyQC.tsv	required	#root/assembly_level	assembly_level	string	-	undefined	^.*$	-
num_chromosomes	SRA_assemblyQC.tsv	required	#root/num_chromosomes	num_chromosomes	string	-	1	^.*$	-
biosample	SRA_assemblyQC.tsv	required	#root/biosample	biosample	string	-	SAMN11056500	^.*$	-
strain	SRA_assemblyQC.tsv	required	#root/strain	strain	string	-	FDAARGOS_785	^.*$	-
organism_name	SRA_assemblyQC.tsv	required	#root/Taxonomy Name	Taxonomy Name	string	-	Abiotrophia defectiva	^.*$	-
bioproject	SRA_assemblyQC.tsv	required	#root/BioPproject	BioPproject	string	-	PRJNA231221	^.*$	-
taxonomy_id	SRA_assemblyQC.tsv	required	#root/taxonomy_id	taxonomy_id	string	-	46125	^[2-9]|[1-9]\d+$	-
lineage	SRA_assemblyQC.tsv	required	#root/lineage	lineage	string	-	cellular organisms; Bacteria; Terrabacteria group; Firmicutes; Bacilli; Lactobacillales; Aerococcaceae; Abiotrophia	^.*$	-
uniprotkb_canonical_ac	sars-cov-2_lineage_mutations.tsv	required	#root/uniprotkb_canonical_ac	uniprotkb_canonical_ac	string	-	P0DTC2-1	^.*$	-
