property	data_object	required	id	title	type	default	examples	pattern	description
organism_name	ngsQC.tsv	required	#root/organism_name	organism_name	string	-	Severe_acute_respiratory_syndrome_coronavirus_2	^([a-zA-Z]+(_[a-zA-Z]+)+).*$	-
lineage	ngsQC.tsv	required	#root/lineage	lineage	string	-	isolate_Wuhan_Hu_1	^([a-zA-Z]+(_[a-zA-Z]+)+).*$	-
taxonomy_id	ngsQC.tsv	required	#root/taxonomy_id	taxonomy_id	string	-	2697049	^[0-9]+$	-
bco_id	ngsQC.tsv	required	#root/bco_id	bco_id	string	-	ARGOS_000012/1.0	^[a-zA-Z]+[0-9]+$	-
schema_version	ngsQC.tsv	required	#root/schema_version	schema_version	string	-	v0.4	^v[0-9]*\.[0-9]+$	-
analysis_platform	ngsQC.tsv	required	#root/analysis_platform	analysis_platform	string	-	HIVE 1 | HIVE 2 | HIVE AWS | Galaxy	(HIVE 1|HIVE 2|HIVE AWS|Galaxy)	-
analysis_platform_object_id	ngsQC.tsv	required	#root/analysis_platform_object_id	analysis_platform_object_id	string	-	39658	^[0-9]+$	-
strain	ngsQC.tsv	optional	#root/strain	strain	string	-	-	^.*$	-
bioproject	ngsQC.tsv	required	#root/bioproject	bioproject	string	-	-	-	-
biosample	ngsQC.tsv	required	#root/biosample	biosample	string	-	-	^.*$	-
sra_run_id	ngsQC.tsv	required	#root/sra_run_id	sra_run_id	string	-	-	^.*$	-
ngs_read_file_source	ngsQC.tsv	required	#root/ngs_read_file_source	ngs_read_file_source	string	-	-	^.*$	-
ngs_read_file_name	ngsQC.tsv	required	#root/file_name	file_name	string	-	SRR10971381_1.fastq	^[a-zA-Z]+[0-9]+_[0-9]+\.fastq$	-
avg_phred_score	ngsQC.tsv	required	#root/avg_phred_score	avg_phred_score	string	-	33.5807	^[0-9]*\.[0-9]+$	-
min_read_length	ngsQC.tsv	required	#root/min_read_length	min_read_length	string	-	1	^[0-9]+$	-
pos_outlier_count	ngsQC.tsv	required	#root/pos_outlier_count	pos_outlier_count	string	-	0	^[0-9]+$	-
num_reads_unique	ngsQC.tsv	required	#root/num_reads_unique	num_reads_unique	string	-	14347779	^[0-9]+$	-
avg_read_length	ngsQC.tsv	required	#root/avg_read_length	avg_read_length	string	-	138.6775	^[0-9]*\.[0-9]+$	-
max_read_length	ngsQC.tsv	required	#root/max_read_length	max_read_length	string	-	151	^[0-9]+$	-
ngs_gc_content	ngsQC.tsv	required	#root/gc_content	gc_content	string	-	51.4	^[0-9]*\.[0-9]+$	-
strategy	ngsQC.tsv	required	#root/strategy	strategy	string	-	RNA-Seq	^([a-zA-Z]+( [a-zA-Z]+)+)$	-
wgs_accession	ngsQC.tsv	optional	#root/wgs_accession	wgs_accession	string	-	-	^.*$	-
level	ngsQC.tsv	optional	#root/level	level	string	-	-	^.*$	-
instrument	ngsQC.tsv	required	#root/instrument	instrument	string	-	Illumina MiniSeq	^([a-zA-Z]+( [a-zA-Z]+)+)$	-
id_method	ngsQC.tsv	optional	#root/id_method	id_method	string	-	-	^.*$	-
codon_table	ngsQC.tsv	optional	#root/codon_table	codon_table	string	-	Standard|Vertebrate Mitochondrial|Yeast Mitochondrial|Mold,Protozoan and Coelenterate Mitochondrial and Mycoplasma/Spiroplasma|Invertebrate Mitochonrial|Ciliate, Dasycladacean and Hexamita Nuclear|Echinoderm and Flatworm Mitochondrial|Euplotid Nuclear|Bacterial, Archael and Plant Plastid|Alternative Yeast Nuclear|Ascidian Mitochondrial|Alternative Flatworm Mitochondrial|Chlorophycean Mitochondrial|Trematode Mitochondrial|Scenedesmus Obliquus Mitochondrial|Thraustochytrium Mitochondrial|Pterobranchia Mitochondrial|Candidate Division SR1 and Gracilibacteria|Pachysolen tannophilus Nuclear	(Standard|Vertebrate Mitochondrial|Yeast Mitochondrial|Mold,Protozoan and Coelenterate Mitochondrial and Mycoplasma/Spiroplasma|Invertebrate Mitochonrial|Ciliate, Dasycladacean and Hexamita Nuclear|Echinoderm and Flatworm Mitochondrial|Euplotid Nuclear|Bacterial, Archael and Plant Plastid|Alternative Yeast Nuclear|Ascidian Mitochondrial|Alternative Flatworm Mitochondrial|Chlorophycean Mitochondrial|Trematode Mitochondrial|Scenedesmus Obliquus Mitochondrial|Thraustochytrium Mitochondrial|Pterobranchia Mitochondrial|Candidate Division SR1 and Gracilibacteria|Pachysolen tannophilus Nuclear)	-
percent_coding	ngsQC.tsv	optional	#root/percent_coding	percent_coding	string	-	0.84|0.71|0.93|0.93|0.93|1.0|0.93|0.93|0.84|0.84|0.93|1.0|0.91|0.93|0.28|0.84|0.93|0.93|0.84	^([0-9]*\.[0-9]+(\|[0-9]*\.[0-9]+)+)$	-
