property	data_files	recommended	description	source_or_type_def
organism_name	assemblyQC*|ngsQC*| siteQC* |biosampleMeta*|ngs_id_list.tsv|SRA_biosample.tsv	Yi FDA	Name of the expected organism. Should corrospond to a NCBI Taxonomy node	NCBI Taxonomy
lineage	assemblyQC*|ngsQC*| siteQC*| biosampleMeta*|SRA_ngsQC.tsv	Yi FDA	The complete taxonomic lineage for the taxonomic node indicated.	NCBI Taxonomy
taxonomy_id	assemblyQC*|ngsQC* | siteQC* |biosampleMeta*|ngs_id_list.tsv|SRA_ngsQC.tsv	Yi FDA	NCBI taxonomy identifier of the organism.	NCBI Taxonomy
bco_id	assemblyQC* | ngsQC* | siteQC*| biosampleMeta*	Raja	BioCompute Object identifier.	biocomputeobject.org
schema_version	assemblyQC* | ngsQC* | siteQC*| biosampleMeta*	Raja	Reflective of the Data Dictionary version currently applied to the dataset. 	data.argos.org
analysis_platform	assemblyQC* | ngsQC* | siteQC*| biosampleMeta*	Raja	The type of platform used to conduct the analysis	ARGOS Team
analysis_platform_object_id	assemblyQC* | ngsQC* | siteQC*| biosampleMeta*	Raja	The process identifier from platform used to conduct the analysis	ARGOS Team
biosample	assemblyQC* | ngsQC* | siteQC*| biosampleMeta*	NCBI	NCBI BioSample identifier.	NCBI BioSample DB
bioproject	assemblyQC*| ngsQC*| siteQC* | biosampleMeta* | ngs_id_list.tsv| SRA_biosample.tsv	NCBI BioProject DB	"NCBI BioProject DB ID. A BioProject is a collection of biological data for a single initiative, originating from a single organization or from a consortium."	NCBI BioProject DB
strain	ngsQC*| biosampleMeta* | SRA_biosample.tsv	Yi FDA	microbial or eukaryotic strain name	NCBI Taxonomy
sra_run_id	assemblyQC*| ngsQC*|siteQC* | ngs_id_list.tsv | SRA_ngsQC.tsv	HIVE	Database identifier assigned by repository and linked to GenBank or other repository.	
ngs_read_file_name	assemblyQC* | ngsQC* | siteQC*	Raja/Robel	"Individual name of the fastq file involved in ngsQC or siteQC, or that is connected to a genome assembly id and subsequence fasta files in assemblyQC (i.e. SRR10971381_1.fastq)"	ARGOS Team
ngs_read_file_source	ngsQC* | assemblyQC* | siteQC*	Raja/Robel	Resource that the fastq files are derived from (i.e. SRA)	ARGOS Team
genome_assembly_id	assemblyQC*| siteQC* | biosampleMeta*|ngs_id_list.tsv	Yi FDA	NCBI Assembly DB identifier.	NCBI Assembly DB
ref_genome_acc	assemblyQC*|siteQC*	Raja/Robel	This accession number is a unique identifier assigned to a record in sequence databases such as RefSeq (NCBI)	NCBI RefSeq
id_method	assemblyQC*|ngsQC* | biosampleMeta*	Yi FDA	Species identification method.	NCBI BioSample DB
