property	data_object	requirement	id	title	data_type	default	examples	pattern	constraint
organism_name	ngsQC.tsv 	required	#root/organism_name	organism_name	string	-	Severe acute respiratory syndrome coronavirus 2	^([a-zA-Z]+(_[a-zA-Z]+)+).*$	N/A
infraspecific_name	ngsQC.tsv 	optional	#root/infraspecific_name	infraspecific_name	string	-	isolate Wuhan-Hu-1	^([a-zA-Z]+(_[a-zA-Z]+)+).*$	N/A
lineage	ngsQC.tsv 	optional	#root/lineage	lineage	string	-	Viruses|Riboviria|Orthornavirae|Pisuviricota|Pisoniviricetes|Nidovirales|Cornidovirineae|Coronaviridae|Orthocoronavirinae|Betacoronavirus|Sarbecovirus|Severe acute respiratory syndrome-related coronavirus	^([a-zA-Z]+(_[a-zA-Z]+)+).*$	N/A
genome_assembly_id	ngsQC.tsv 	optional	#root/genome_assembly_id	genome_assembly_id	string	-	GCA_009858895.3	^.*$	N/A
taxonomy_id	ngsQC.tsv 	required	#root/taxonomy_id	taxonomy_id	string	-	2697049	^[0-9]+$	N/A
bco_id	ngsQC.tsv 	required	#root/bco_id	bco_id	string	-	ARGOS_000019	^[a-zA-Z]+[0-9]+$	N/A
schema_version	ngsQC.tsv 	required	#root/schema_version	schema_version	string	-	v0.9	^v[0-9]*\.[0-9]+$	N/A
analysis_platform	ngsQC.tsv 	required	#root/analysis_platform	analysis_platform	string	-	HIVE 1 | HIVE 2 | HIVE AWS | Galaxy	(HIVE 1|HIVE 2|HIVE AWS|Galaxy)	N/A
analysis_platform_object_id	ngsQC.tsv 	optional	#root/analysis_platform_object_id	analysis_platform_object_id	string	-	39658	^[0-9]+$	43172-43172
bioproject	ngsQC.tsv 	required	#root/bioproject	bioproject	string	-	PRJNA603194	^.*$	N/A
biosample	ngsQC.tsv 	required	#root/biosample	biosample	string	-	SAMN13922059	^.*$	N/A
strain	ngsQC.tsv 	optional	#root/strain	strain	string	-	FDAARGOS_94	^.*$	N/A
sra_run_id	ngsQC.tsv 	required	#root/sra_run_id	sra_run_id	string	-	SRR10971381	^.*$	N/A
ngs_read_file_name	ngsQC.tsv 	required	#root/ngs_read_file_name	ngs_read_file_name	string	-	SRR10971381_1.fastq	^[a-zA-Z]+[0-9]+_[0-9]+\.fastq$	N/A
ngs_read_file_source	ngsQC.tsv 	required	#root/ngs_read_file_source	ngs_read_file_source	string	-	SRA	^.*$	N/A
ngs_gc_content	ngsQC.tsv 	required	#root/ngs_gc_content	gc_content	float	-	51.4	^[0-9]*\.[0-9]+$	0.0-1.0
avg_phred_score	ngsQC.tsv 	required	#root/avg_phred_score	avg_phred_score	float	-	33.5807	^[0-9]*\.[0-9]+$	0.0-1000.0
avg_read_length	ngsQC.tsv 	required	#root/avg_read_length	avg_read_length	float	-	138.6775	^[0-9]*\.[0-9]+$	0.0-10000.0
max_read_length	ngsQC.tsv 	required	#root/max_read_length	max_read_length	int	-	151	^[0-9]+$	0-100000
min_read_length	ngsQC.tsv 	required	#root/min_read_length	min_read_length	int	-	1	^[0-9]+$	0-10000
num_reads_unique	ngsQC.tsv 	optional	#root/num_reads_unique	num_reads_unique	int	-	NA	^[0-9]+$	0-100000000
pos_outlier_count	ngsQC.tsv 	optional	#root/pos_outlier_count	pos_outlier_count	int	-	0	^[0-9]+$	0-100000
codon_table	ngsQC.tsv 	optional	#root/codon_table	codon_table	string	-	"Standard|Vertebrate Mitochondrial|Yeast Mitochondrial|Mold,Protozoan and Coelenterate Mitochondrial and Mycoplasma/Spiroplasma|Invertebrate Mitochonrial|Ciliate, Dasycladacean and Hexamita Nuclear|Echinoderm and Flatworm Mitochondrial|Euplotid Nuclear|Bacterial, Archael and Plant Plastid|Alternative Yeast Nuclear|Ascidian Mitochondrial|Alternative Flatworm Mitochondrial|Chlorophycean Mitochondrial|Trematode Mitochondrial|Scenedesmus Obliquus Mitochondrial|Thraustochytrium Mitochondrial|Pterobranchia Mitochondrial|Candidate Division SR1 and Gracilibacteria|Pachysolen tannophilus Nuclear"	^([a-zA-Z]+(_[a-zA-Z]+)+).*$	N/A
