property	data_files	recommended	description	source_or_type_def																					
organism_name	assemblyQC*|ngsQC*| siteQC* |biosampleMeta*|ngs_id_list.tsv|SRA_biosample.tsv	Yi FDA	Name of the expected organism. Should correspond to a NCBI Taxonomy node	NCBI Taxonomy																					
infraspecific_name	assemblyQC*|ngsQC*| siteQC* |biosampleMeta*|ngs_id_list.tsv 	Data Team 	"scientific name for any taxon below the rank of species, i.e. an infraspecific taxon or infraspecies. "	NCBI Assembly																					
lineage	assemblyQC*|ngsQC*| siteQC*| biosampleMeta*|ngs_id_list.tsv|	Yi FDA	The complete taxonomic lineage for the taxonomic node indicated.	NCBI Taxonomy																					
genome_assembly_id	assemblyQC*|ngsQC* |  siteQC* | biosampleMeta*|ngs_id_list.tsv	Yi FDA	Assembly DB identifier (Example: NCBI assembly accession)	NCBI Assembly DB																					
taxonomy_id	assemblyQC*|ngsQC* | siteQC* |biosampleMeta*|ngs_id_list.tsv	Yi FDA	NCBI taxonomy identifier of the organism.	NCBI Taxonomy																					
bioproject	ngsQC*| siteQC* | biosampleMeta* | ngs_id_list.tsv| SRA_biosample.tsv	NCBI BioProject DB	"NCBI BioProject DB ID. A BioProject is a collection of biological data for a single initiative, originating from a single organization or from a consortium."	NCBI BioProject DB																					
bco_id	assemblyQC* | ngsQC* | siteQC*| biosampleMeta*	Raja	BioCompute Object identifier.	biocomputeobject.org																					
schema_version	assemblyQC* | ngsQC* | siteQC*| biosampleMeta*	Raja	Reflective of the Data Dictionary version currently applied to the dataset. 	data.argos.org																					
analysis_platform	assemblyQC* | ngsQC* | siteQC*| biosampleMeta*	Raja	The platform used to conduct the analysis.	ARGOS Team																					
analysis_platform_object_id	assemblyQC* | ngsQC* | siteQC*| biosampleMeta*	Raja	Unique identifier of archive containing data and analyses. Examples include HIVEPack or Research Object (RO).	ARGOS Team; HIVE; https://www.researchobject.org/ 																					
biosample	ngsQC* | siteQC*| biosampleMeta*| ngs_id_list.tsv	NCBI	NCBI BioSample identifier.	NCBI BioSample DB																					
strain	ngsQC*| biosampleMeta* | SRA_biosample.tsv	Yi FDA	microbial or eukaryotic strain name	NCBI Taxonomy																					
sra_run_id	ngsQC*|siteQC* | ngs_id_list.tsv |	HIVE	Database identifier assigned by repository and linked to GenBank or other repository.	NCBI SRA																					
ngs_read_file_name	ngsQC* | siteQC*| ngs_id_list.tsv	Raja/Robel	"Individual name of the fastq file involved in ngsQC or siteQC, or that is connected to a genome assembly id and subsequence fasta files in assemblyQC (i.e. SRR10971381_1.fastq)"	ARGOS Team																					
ngs_read_file_source	ngsQC*| siteQC*| ngs_id_list.tsv	Raja/Robel	Resource that the fastq files are derived from (i.e. SRA) in the form of a URI/static URL.	ARGOS Team																					
ref_genome_acc	assemblyQC*|siteQC*	Raja/Robel	This accession number is a unique identifier assigned to a record in sequence databases such as RefSeq (NCBI).	NCBI RefSeq																					
id_method	assemblyQC*|ngsQC* | biosampleMeta*	Yi FDA	Species identification method.	NCBI BioSample DB																					
host	biosampleMeta*|SRA_biosample.tsv	NCBI Biosample DB; Yi FDA	The natural host to the organism from which the sample was obtained.	NCBI BioSample DB																					
num_chromosomes	assemblyQC*|PRJNA231221_AssemblyUpdated.tsv	Raja	Total number of chromosomes in the genome assembly.	NCBI Assembly DB																					
length	assemblyQC* | proteome_metadata.csv*|uniprot-proteome.csv* 	HIVE	Total length of the assembly	HIVE																					
assembly_file_source	assemblyQC*	Data Team 	Resource that the fasta files are derived from in the form of a URI/static URL.	ARGOS Team																					
assembly_gc_content	assemblyQC*	Yi FDA GC & Vahan	GC content of the assembly.	Calculated from SRA																					
percent_reads_unaligned	assemblyQC* 	HIVE	the number of reads that did not align to the reference as a percentage.	HIVE																					
num_of_frameshifts	assemblyQC*	Raja/Yi	The number of framshifts identified in a gene. A frameshift mutation in a gene refers to the insertion or deletion of nucleotide bases in numbers that are not multiples of three.	Stanford Coronavirus Antiviral & Resistance Database | National Human Genome Institue 																					
num_of_stop_codons	assemblyQC*	Raja/Yi	The number of of stop codons identified in a genome assembly (fasta). A stop codon is a sequence of three nucleotides (a trinucleotide) in DNA or messenger RNA (mRNA) that signals a halt to protein synthesis in the cell. 	Stanford Coronavirus Antiviral & Resistance Database | National Human Genome Institue 																					
assembled_genome_acc	assemblyQC*	Raja	The accession assigned to a genome assembly generated by the FDA Argos Team 	ARGOS Team																					
genome_coverage	assemblyQC*	Raja	The number of nucleotide bases in a sequence that align to a specific locus in a reference genome. Coverage = (read count * read length ) / total genome size.	ARGOS Team																					
num_genes	assemblyQC*	Raja/Vahan	Number of genes per organism.	ARGOS Team																					
num_segments	assemblyQC*	Raja	Number of segments in genome	ARGOS Team																					
number_of_n	assemblyQC*	Raja/Vahan	The total number of uncalled bases (N's) in the assembly.	HIVE																					
genomic_section	assemblyQC*	Raja/Robel	"The section of an organisms genome undergoing analysis (i.e. the gene, segment, chromosome, contig, etc.)"	NCBI - multiple sources 																					
n50	assemblyQC*	Yi FDA; Vahan	Length of the shortest read to minimally represent 50% of the assembly.	HIVE																					
n75	assemblyQC*	Vahan	Length of the shortest read to minimally represent 95% of the assembly.	HIVE / NCBI																					
n90	assemblyQC*	Vahan	Length of the shortest read to minimally represent 75% of the assembly.	HIVE / NCBI																					
l50	assemblyQC*	Yi FDA; Vahan	Number of reads that minimally represent 50% of the assembly.	HIVE																					
l75	assemblyQC*	Raja	Number of reads that minimally represent 75% of the assembly.	HIVE																					
percent_assembly_greater_20x	assemblyQC*	Yi FDA	"Summary statistics of percent assembly with 20x coverage, other summery statistics could also be used."	HIVE																					
query_coverage_against_reference	assemblyQC*	Yi FDA/Raja	"The coverage results for a BLAST alignment of the query assembly aligned to the refseq of that organism, or the percent of the query assembly that overlaps with the reference sequence."	HIVE																					
