sra_experiment_id	sra_run_id	sra_project_id	sra_biosample_id	num_of_bases	file_size	published	source	strategy	layout	library_name	selection	instrument	file_type	reads_unaligned	identified_reads	taxonomy_id	lineage	percent_identified	gc_content
SRX5882434	SRR9107811	PRJNA231221	SAMN11077980	400293278	195921414	5/22/19 16:57	VIRAL RNA	WGS	PAIRED	IL100100209	cDNA	Illumina MiSeq	fastq	61059	603880	64320	Viruses|Riboviria|Orthornavirae|Kitrinoviricota|Flasuviricetes|Amarillovirales|Flaviviridae|Flavivirus|Zika virus	0.908173532	0.455669683
SRX981408	SRR1955879	PRJNA231221	SAMN03255484	1559225880	1077262786	5/12/15 13:12	GENOMIC	WGS	PAIRED	IL100040311	RANDOM	Illumina HiSeq 2000	fastq	294436	7424504	1280	Bacteria|Firmicutes|Bacilli|Bacillales|Staphylococcaceae|Staphylococcus|Staphylococcus aureus	0.961855384	0.324136475
SRX9395649	SRR12931595	PRJNA231221	SAMN16357246	2622129194	1133821240	10/29/20 11:50	GENOMIC	WGS	PAIRED	IL100137969	RANDOM	Illumina HiSeq 4000	fastq	9711	8672836	562	Bacteria|Proteobacteria|Gammaproteobacteria|Enterobacterales|Enterobacteriaceae|Escherichia|Escherichia coli	0.998881549	0.502622507
SRX6428637	SRR9668055	PRJNA231221	SAMN11056503	2969537914	1311027089	7/10/19 16:08	GENOMIC	WGS	PAIRED	IL100101440	RANDOM	Illumina HiSeq 4000	fastq	41662	9791245	32002	Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales|Alcaligenaceae|Achromobacter|Achromobacter denitrificans	0.995763003	0.669004407
SRX4999831	SRR8179758	PRJNA231221	SAMN10163202	1364140255	4694914890	11/10/18 1:33	GENOMIC	WGS	SINGLE	PL100072413-1	RANDOM	PacBio RS	pacbio_native	108286	55196	40324	Bacteria|Proteobacteria|Gammaproteobacteria|Xanthomonadales|Xanthomonadaceae|Stenotrophomonas|Stenotrophomonas maltophilia group|Stenotrophomonas maltophilia	0.337627384	0.636823743
SRX10063342	SRR13673900	PRJNA231221	SAMN16357446	628176894	158842709	2/9/21 20:31	GENOMIC	WGS	SINGLE	PL100141808-1	RANDOM	Sequel	bam	6191	92472	562	Bacteria|Proteobacteria|Gammaproteobacteria|Enterobacterales|Enterobacteriaceae|Escherichia|Escherichia coli	0.937251046	0.502888236
SRX5882427	SRR9107805	PRJNA231221	SAMN11077982	481376056	225083633	5/22/19 16:57	VIRAL RNA		PAIRED	IL100100211	cDNA	Illumina MiSeq	fastq	364444	435184	64320	Viruses|Riboviria|Orthornavirae|Kitrinoviricota|Flasuviricetes|Amarillovirales|Flaviviridae|Flavivirus|Zika virus	0.544233068	0.486037939
SRX9400292	SRR12936588	PRJNA231221	SAMN16357283	2474156442	1082268111	10/29/20 16:26	GENOMIC	WGS	PAIRED	IL100141155	RANDOM	Illumina HiSeq 4000	fastq	391177	7801394	156976	Bacteria|Actinobacteria|Corynebacteriales|Corynebacteriaceae|Corynebacterium|Corynebacterium riegelii	0.952252229	0.599356484
SRX981348	SRR1955845	PRJNA231221	SAMN03255470	1412938288	975382834	5/12/15 13:12	GENOMIC	WGS	PAIRED	IL100040297	RANDOM	Illumina HiSeq 2000	fastq	139709	6855035	1280	Bacteria|Firmicutes|Bacilli|Bacillales|Staphylococcaceae|Staphylococcus|Staphylococcus aureus	0.980026574	0.324394202
SRX5764164	SRR8984901	PRJNA231221	SAMN11056343	2933938758	1167322116	4/29/19 13:25	GENOMIC	WGS	PAIRED	IL100080263	RANDOM	Illumina HiSeq 4000	fastq	147252	9567777	244366	Bacteria|Proteobacteria|Gammaproteobacteria|Enterobacterales|Enterobacteriaceae|Klebsiella/Raoultella group|Klebsiella|Klebsiella variicola	0.984842866	0.570108673
SRX981353	SRR1955851	PRJNA231221	SAMN03255472	1168591008	812538693	5/12/15 13:12	GENOMIC	WGS	PAIRED	IL100040299	RANDOM	Illumina HiSeq 2000	fastq	27675	5757429	1280	Bacteria|Firmicutes|Bacilli|Bacillales|Staphylococcaceae|Staphylococcus|Staphylococcus aureus	0.995216162	0.325489429
SRX9402266	SRR12938599	PRJNA231221	SAMN16357312	2724074126	1090494749	10/30/20 0:08	GENOMIC	WGS	PAIRED	IL100141174	RANDOM	Illumina HiSeq 4000	fastq	16769	9003344	28454	Bacteria|Bacteroidetes|Sphingobacteriia|Sphingobacteriales|Sphingobacteriaceae|Sphingobacterium|Sphingobacterium multivorum	0.998140932	0.395348913
SRX9398796	SRR12935056	PRJNA231221	SAMN16357265	235336676	951095597	10/29/20 16:26	GENOMIC	WGS	SINGLE	PL100132574-1	RANDOM	PacBio RS	pacbio_native	155379	8103	108980	Bacteria|Proteobacteria|Gammaproteobacteria|Moraxellales|Moraxellaceae|Acinetobacter|Acinetobacter ursingii	0.04956509	0.402713103
SRX5944961	SRR9172295	PRJNA231221	SAMN11056435	1523122963	5312777388	6/1/19 1:43	GENOMIC	WGS	SINGLE	PL100081676-1	RANDOM	PacBio RS	pacbio_native	90870	72612	95486	Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales|Burkholderiaceae|Burkholderia|Burkholderia cepacia complex|Burkholderia cenocepacia	0.44415899	0.645150462
SRX9401567	SRR12937899	PRJNA231221	SAMN16357297	1483127739	374655578	10/30/20 0:08	GENOMIC	WGS	SINGLE	PL100132619-2	RANDOM	Sequel	bam	28117	161933	2051	Bacteria|Actinobacteria|Actinomycetales|Actinomycetaceae|Mobiluncus|Mobiluncus curtisii	0.852054722	0.539226056
SRX9402239	SRR12938572	PRJNA231221	SAMN16357308	3297450722	1358744761	10/30/20 0:08	GENOMIC	WGS	PAIRED	IL100141170	RANDOM	Illumina HiSeq 4000	fastq	15722	10902989	621	Bacteria|Proteobacteria|Gammaproteobacteria|Enterobacterales|Enterobacteriaceae|Shigella|Shigella boydii	0.998560086	0.495916314
SRX13303158	SRR17118602	PRJNA231221	SAMN22365128	3503114836	1159580141	12/3/21 13:36	GENOMIC	WGS	PAIRED	IL100188184	RANDOM	Illumina NovaSeq 6000	fastq	44368	11555350	861445	Bacteria|Proteobacteria|Gammaproteobacteria|Moraxellales|Moraxellaceae|Psychrobacter|Psychrobacter sanguinis	0.996175079	0.412511376
SRX2105903	SRR4124985	PRJNA231221	SAMN04875586	255307194	171423220	9/2/16 13:49	GENOMIC	WGS	PAIRED	IL100056679	RANDOM	Illumina HiSeq 2500	fastq	86161	1177736	490	Bacteria|Proteobacteria|Betaproteobacteria|Neisseriales|Neisseriaceae|Neisseria|Neisseria sicca	0.931829097	0.493156581
SRX8048205	SRR11471929	PRJNA231221	SAMN14214654	208154142	96775125	4/4/20 12:33	VIRAL RNA	WGS	PAIRED	IL100121129	cDNA	Illumina MiSeq	fastq	36091	309680	64320	Viruses|Riboviria|Orthornavirae|Kitrinoviricota|Flasuviricetes|Amarillovirales|Flaviviridae|Flavivirus|Zika virus	0.895621669	0.400531117
SRX1382140	SRR2814420	PRJNA231221	SAMN03996249	657174478	469744756	10/26/15 14:33	GENOMIC	WGS	PAIRED	IL100047829	RANDOM	Illumina HiSeq 2000	fastq	125397	3127942	28901	Bacteria|Proteobacteria|Gammaproteobacteria|Enterobacterales|Enterobacteriaceae|Salmonella|Salmonella enterica	0.961455907	0.524869246
SRX6806451	SRR10073038	PRJNA231221	SAMN11077951	294462042	188569180	9/5/19 20:04	VIRAL RNA	AMPLICON	PAIRED	IL100092370	RT-PCR	Illumina MiSeq	fastq	15096	573387	64320	Viruses|Riboviria|Orthornavirae|Kitrinoviricota|Flasuviricetes|Amarillovirales|Flaviviridae|Flavivirus|Zika virus	0.974347602	0.511751253
SRX2737619	SRR5448771	PRJNA231221	SAMN06173360	4105641204	14134919148	4/14/17 16:48	GENOMIC	WGS	SINGLE	PL100061976-1	RANDOM	PacBio RS	pacbio_native	72119	91363	1351	Bacteria|Firmicutes|Bacilli|Lactobacillales|Enterococcaceae|Enterococcus|Enterococcus faecalis	0.558856633	0.391644799
SRX5000535	SRR8180464	PRJNA231221	SAMN10163223	2656747152	1187127030	11/9/18 16:30	GENOMIC	WGS	PAIRED	IL100074258	RANDOM	Illumina HiSeq 4000	fastq	69345	8727831	38289	Bacteria|Actinobacteria|Corynebacteriales|Corynebacteriaceae|Corynebacterium|Corynebacterium jeikeium	0.992117357	0.582616623
SRX9400281	SRR12936577	PRJNA231221	SAMN16357281	602943325	2216223553	10/29/20 16:26	GENOMIC	WGS	SINGLE	PL100132598-1	RANDOM	PacBio RS	pacbio_native	140536	22946	43769	Bacteria|Actinobacteria|Corynebacteriales|Corynebacteriaceae|Corynebacterium|Corynebacterium propinquum	0.14035796	0.525831094
SRX9620472	SRR13182591	PRJNA231221	SAMN16357385	3580244428	1174287024	12/2/20 12:30	GENOMIC	WGS	PAIRED	IL100147062	RANDOM	Illumina NovaSeq 6000	fastq	33955	11821159	1282	Bacteria|Firmicutes|Bacilli|Bacillales|Staphylococcaceae|Staphylococcus|Staphylococcus epidermidis	0.997135835	0.317525971
SRX1385808	SRR2823717	PRJNA231221	SAMN03996258	1313342466	5022669561	10/27/15 2:52	GENOMIC	WGS	SINGLE	PL100048429-1	RANDOM	PacBio RS	pacbio_native	93831	69651	518	Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales|Alcaligenaceae|Bordetella|Bordetella bronchiseptica	0.426046904	0.606430134
SRX11386234	SRR15076205	PRJNA231221	SAMN16357582	2731468596	884193716	7/8/21 19:19	GENOMIC	WGS	PAIRED	IL100160364	RANDOM	Illumina NovaSeq 6000	fastq	9087043	9002153	43674	Bacteria|Actinobacteria|Micrococcales|Jonesiaceae|Jonesia|Jonesia denitrificans	0.497653572	0.584677616
SRX2708686	SRR5417088	PRJNA231221	SAMN06173327	943173552	608105920	4/5/17 10:15	GENOMIC	WGS	PAIRED	IL100061012	RANDOM	Illumina HiSeq 2500	fastq	91090	4578086	134047	Bacteria|Proteobacteria|Gammaproteobacteria|Enterobacterales|Enterobacteriaceae|Salmonella|Salmonella enterica subsp. enterica serovar Bredeney	0.980491204	0.507518418
SRX11386587	SRR15076563	PRJNA231221	SAMN16357517	2506333649	633622150	7/8/21 20:32	GENOMIC	WGS	SINGLE	PL100146139-1	RANDOM	Sequel	bam	19049	387036	562	Bacteria|Proteobacteria|Gammaproteobacteria|Enterobacterales|Enterobacteriaceae|Escherichia|Escherichia coli	0.953091102	0.499826888
SRX12531041	SRR16251420	PRJNA231221	SAMN21218859	2312892506	584470451	10/8/21 23:50	GENOMIC	WGS	SINGLE	PL100164171-1	RANDOM	Sequel	bam	32259	299256	1463165	Bacteria|Proteobacteria|Gammaproteobacteria|Enterobacterales|Enterobacteriaceae|Klebsiella/Raoultella group|Klebsiella|Klebsiella quasipneumoniae	0.902692186	0.563989085
SRX11386602	SRR15076577	PRJNA231221	SAMN16357523	1584674936	556187890	7/8/21 20:33	GENOMIC	WGS	PAIRED	IL100153345	RANDOM	Illumina NovaSeq 6000	fastq	5278169	5216367	562	Bacteria|Proteobacteria|Gammaproteobacteria|Enterobacterales|Enterobacteriaceae|Escherichia|Escherichia coli	0.497055515	0.500011283
SRX12531055	SRR16251434	PRJNA231221	SAMN21218864	4428400858	1471522382	10/8/21 23:50	GENOMIC	WGS	PAIRED	IL100165802	RANDOM	Illumina NovaSeq 6000	fastq	50914	14612665	1313	Bacteria|Firmicutes|Bacilli|Lactobacillales|Streptococcaceae|Streptococcus|Streptococcus pneumoniae	0.99652786	0.396856392
SRX9398999	SRR12935283	PRJNA231221	SAMN16357272	1240839599	4344807666	10/29/20 16:26	GENOMIC	WGS	SINGLE	PL100132581-1	RANDOM	PacBio RS	pacbio_native	111997	51485	250	Bacteria|Bacteroidetes|Flavobacteriia|Flavobacteriales|Weeksellaceae|Chryseobacterium group|Chryseobacterium|Chryseobacterium gleum	0.314927637	0.374607431
SRX3039308	SRR5871784	PRJNA231221	SAMN07312424	4022981879	13460515913	7/26/17 17:59	GENOMIC	WGS	SINGLE	PL100062014-1	RANDOM	PacBio RS	pacbio_native	65991	97491	2018067	Bacteria|Proteobacteria|Gammaproteobacteria|Pseudomonadales|Pseudomonadaceae|Pseudomonas|Pseudomonas sp. FDAARGOS_380	0.596340882	0.579577902
SRX1385908	SRR2824044	PRJNA231221	SAMN03996260	1614867141	5875323852	10/27/15 3:41	GENOMIC	WGS	SINGLE	PL100048432-1	RANDOM	PacBio RS	pacbio_native	94353	69129	520	Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales|Alcaligenaceae|Bordetella|Bordetella pertussis	0.422853892	0.634420445
