organism_name	infraspecific_name	lineage	taxonomy_id	bco_id	schema_version	bioproject	biosample	strain	genome_assembly_id	sample_name	instrument	isolate	collected_by	collection_date	geo_loc_name	isolation_source	lat_lon	culture_collection	host	host_age	host_description	host_disease	host_disease_outcome	host_disease_stage	host_health_state	host_sex	id_method	biosample_score
Hoylesella buccalis		cellular organisms; Bacteria; FCB group; Bacteroidetes/Chlorobi group; Bacteroidota; Bacteroidia; Bacteroidales; Prevotellaceae; Hoylesella	28127	ARGOS_000010	v1.4	PRJNA231221	SAMN22091685	FDAARGOS_1588		FDAARGOS_1588			missing	Unknown	USA: Silver Spring	missing	Not applicable	DSMZ:20616	missing	Unknown	Not applicable	Unknown	Unknown	Unknown	Unknown	Unknown	Phenotypic and Molecular Methods	
Thomasclavelia ramosa		cellular organisms; Bacteria; Terrabacteria group; Bacillota; Erysipelotrichia; Erysipelotrichales; Coprobacillaceae; Thomasclavelia	1547	ARGOS_000010	v1.4	PRJNA231221	SAMN21218875	FDAARGOS_1519		FDAARGOS_1519		Not applicable	DSMZ	Unknown	Germany: Braunschweig	missing	Not applicable	DSM:24812	missing	Unknown	Not applicable	Unknown	Unknown	Unknown	Unknown	Unknown	Phenotypic and Molecular Methods	
Thomasclavelia ramosa		cellular organisms; Bacteria; Terrabacteria group; Bacillota; Erysipelotrichia; Erysipelotrichales; Coprobacillaceae; Thomasclavelia	1547	ARGOS_000010	v1.4	PRJNA231221	SAMN16357275	FDAARGOS_1106		FDAARGOS_1106		Not applicable	DSMZ	Unknown	Germany: Braunschweig	missing	Not applicable	DSM:29357	missing	Unknown	Not applicable	Unknown	Unknown	Unknown	Unknown	Unknown	Phenotypic and Molecular Methods	
Thomasclavelia ramosa		cellular organisms; Bacteria; Terrabacteria group; Bacillota; Erysipelotrichia; Erysipelotrichales; Coprobacillaceae; Thomasclavelia	1547	ARGOS_000010	v1.4	PRJNA231221	SAMN16357274	FDAARGOS_1105		FDAARGOS_1105		Not applicable	DSMZ	Unknown	Germany: Braunschweig	missing	Not applicable	DSM:29355	missing	Unknown	Not applicable	Unknown	Unknown	Unknown	Unknown	Unknown	Phenotypic and Molecular Methods	
Thomasclavelia ramosa		cellular organisms; Bacteria; Terrabacteria group; Bacillota; Erysipelotrichia; Erysipelotrichales; Coprobacillaceae; Thomasclavelia	1547	ARGOS_000010	v1.4	PRJNA231221	SAMN13450436	FDAARGOS_906		FDAARGOS_906		Not applicable	DSMZ	Unknown	Not applicable	missing	Not applicable	DSM:1402	missing	Unknown	Not applicable	Unknown	Unknown	Unknown	Unknown	Unknown	Phenotypic and Molecular Methods	
Bacillus sp. (in: firmicutes)		cellular organisms; Bacteria; Terrabacteria group; Bacillota; Bacilli; Bacillales; Bacillaceae; Bacillus; unclassified Bacillus (in: firmicutes)	1409	ARGOS_000010	v1.4	PRJNA231221	SAMN16357378	FDAARGOS_1236		FDAARGOS_1236		Not applicable	FDA-Stanford Microbiome Effort	Unknown	USA:MD	FDA-Stanford-Microbiome isolate	Not applicable	FDA:FDAARGOS_1236	FDA-Stanford-Microbiome strain	Unknown	Not applicable	Unknown	Unknown	Unknown	Unknown	Unknown	Phenotypic and Molecular Methods	
Bacillus sp. (in: firmicutes)		cellular organisms; Bacteria; Terrabacteria group; Bacillota; Bacilli; Bacillales; Bacillaceae; Bacillus; unclassified Bacillus (in: firmicutes)	1409	ARGOS_000010	v1.4	PRJNA231221	SAMN10163221	FDAARGOS_527		FDAARGOS_527		Not applicable	Children's National Hospital	########	not applicable	Broviac blood	Not applicable	FDA:FDAARGOS_527	Homo sapiens	22M	Not applicable	Unknown	Unknown	Unknown	Unknown	male	Phenotypic and Molecular Methods	
Bacillus sp. (in: firmicutes)		cellular organisms; Bacteria; Terrabacteria group; Bacillota; Bacilli; Bacillales; Bacillaceae; Bacillus; unclassified Bacillus (in: firmicutes)	1409	ARGOS_000010	v1.4	PRJNA231221	SAMN10163203	FDAARGOS_509		FDAARGOS_509		Not applicable	Children's National Hospital	1/2/2016	USA: DC	Endotracheal aspirate	Not applicable	FDA:FDAARGOS_509	Homo sapiens	22D	Not applicable	Unknown	Unknown	Unknown	Unknown	male	Phenotypic and Molecular Methods	
Lactococcus garvieae		cellular organisms; Bacteria; Terrabacteria group; Bacillota; Bacilli; Lactobacillales; Streptococcaceae; Lactococcus	1363	ARGOS_000010	v1.4	PRJNA231221	SAMN13450459	FDAARGOS_929		FDAARGOS_929		Not applicable	DSMZ	Unknown	Not applicable	missing	Not applicable	DSM:20684	missing	Unknown	Not applicable	Unknown	Unknown	Unknown	Unknown	Unknown	Phenotypic and Molecular Methods	
Klebsiella aerogenes		cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Klebsiella/Raoultella group; Klebsiella	548	ARGOS_000010	v1.4	PRJNA231221	SAMN16357584	FDAARGOS 1442		FDAARGOS 1442		Not applicable	DSMZ	Unknown	Germany: Braunschweig	missing	Not applicable	DSM:30053	missing	Unknown	Not applicable	Unknown	Unknown	Unknown	Unknown	Unknown	Phenotypic and Molecular Methods	
Campylobacter ureolyticus		cellular organisms; Bacteria; Pseudomonadota; delta/epsilon subdivisions; Epsilonproteobacteria; Campylobacterales; Campylobacteraceae; Campylobacter	827	ARGOS_000010	v1.4	PRJNA231221	SAMN16357271	FDAARGOS_1102		FDAARGOS_1102		Not applicable	DSMZ	Unknown	Germany: Braunschweig	missing	Not applicable	DSM:20703	missing	Unknown	Not applicable	Unknown	Unknown	Unknown	Unknown	Unknown	Phenotypic and Molecular Methods	
