property,$id,title,description,type,default,examples,pattern,required
fdaargos_biosample_id,#root/fdaargos_biosample_id,fdaargos BioSample identifier,ARGOS BioSample identifier.,string,,[''],^.*$,required
fdaargos_id,#root/fdaargos_id,fdaargos identifier,ARGOS identifier.,string,,[''],^.*$,required
file_name,#root/file_name,file name,FASTQ file name used for the HIVE analysis.,string,,[''],^.*$,required
avg_file_quality,#root/avg_file_quality,average file quality,Average quality (in phred score) of sequences in a FASTQ read file.,number,,[''],^.*$,required
min_read_length,#root/min_read_length,minimum read length,Length (in base pairs) of the shortest sequence(s) in a FASTA/FASTQ read file.,number,,[''],^.*$,required
pos_outlier_count,#root/pos_outlier_count,position outlier count,Count of positions the quality of which is significantly different (extremely low or high).,number,,[''],^.*$,required
num_reads,#root/num_reads,number of reads,Number of sequences present in a FASTA/FASTQ read file.,number,,[''],^.*$,required
avg_read_length,#root/avg_read_length,average read length,Average length of sequences in a FASTA/FASTQ read file.,number,,[''],^.*$,required
max_read_length,#root/max_read_length,maximum read length,Length (in base pairs) of longest sequence(s) present in a FASTA/FASTQ read file.,number,,[''],^.*$,optional
gc%,#root/gc%,gc percent,Percent GC content of the sequences in a read file.,string,,[''],^.*$,required
strategy,#root/strategy,strategy,Strategy/method used to generate the NGS.,string,,['shotgun'],^.*$,required
sra_run_id,#root/sra_run_id,sra run identifier,Database identifier assigned by repository and linked to GenBank or other repository.,string,,[''],^.*$,optional
genome_assembly_id,#root/genome_assembly_id,genome assembly identifier,NCBI’s Genome Assembly identifier.,string,,[''],^.*$,optional
wgs_accession,#root/wgs_accession,WGS accession,NCBI’s Whole Genome Shotgun (WGS) accession number.,string,,[''],^.*$,optional
ncbi_biosample_id,#root/ncbi_biosample_id,NCBI BioSample identifier,NCBI’s BioSample identifier.,string,,[''],^.*$,optional
level,#root/level,level,Level index for run specific depth first enumeration of tax hierarchy.,string,,[''],^.*$,optional
strain_name,#root/strain_name,strain name,Strain name of the organism of interest.,string,,[''],^.*$,optional
organism_name,#root/organism_name,Organism_name,Name of the expected organism. This is determined prior to sequencing.,string,,[''],^.*$,optional
instrument,#root/instrument,instrument,Name of instrument used for NGS.,string,,"['NextSeq 500 High-Output', 'HiSeq X']",^.*$,optional
id_method,#root/id_method,identifier method,Species identification method.,string,,[''],^.*$,optional
codon_table,#root/codon_table,Codon table,Codon Table,array,[],['Standard'],^.*$,optional
%protein_coding,#root/%protein_coding,%protein_coding,Percent of the total content that is identified automatically as protein coding,array,[],[1.3],^.*$,optional
%not_coding,#root/%not_coding,%not_coding,Percent of the total content that is identified automatically as NOT protein coding,array,[],[98.7],^.*$,optional
cumulative%_reads,#root/cumulative%_reads,Cumulative%_reads,Cumlitive percent of reads,array,[],[26.3],^.*$,optional
density_Ns_per_read,#root/density_Ns_per_read,Density_ns_per_read,The percentage of Ns per read for the content,array,[],[1],^.*$,optional
%complex,#root/%complex,%complex,"Percentage of content identified as ""complex""",integer,0,[100],^.*$,optional
%not_complex,#root/%not_complex,%not_complex,"Percentage of content identified as NOT ""complex""",integer,0,[0],^.*$,optional
avg_quality_a,#root/avg_quality_per_base,Avgerage quality per base for A,Avgerage quality per base for A,array,[],[7.8],^.*$,optional
avg_quality_t,#root/avg_quality_per_base,Avgerage quality per base for T,Avgerage quality per base for T,array,[],[7.8],^.*$,optional
avg_quality_g,#root/avg_quality_per_base,Avgerage quality per base for G,Avgerage quality per base for G,array,[],[7.8],^.*$,optional
avg_quality_c,#root/avg_quality_per_base,Avgerage quality per base for C,Avgerage quality per base for C,array,[],[7.8],^.*$,optional
count_a,#root/count_a,Number of A nucleotides,Number of A nucleotides,integer,0,[123555],^.*$,optional
count_c,#root/count_c,Number of T nucleotides,Number of T nucleotides,integer,0,[123455],^.*$,optional
count_g,#root/count_g,Number of G nucleotides,Number of G nucleotides,integer,0,[123551],^.*$,optional
count_t,#root/count_t,Number of C nucleotides,Number of C nucleotides,integer,0,[1235235],^.*$,optional
