organism_name	infraspecific_name	lineage	taxonomy_id	bco_id	schema_version	bioproject	biosample	strain	sra_run_id	genome_assembly_id	sample_name	instrument	isolate	collected_by	collection_date	geo_loc_name	isolation_source	lat_lon	culture_collection	host	host_age	host_description	host_disease	host_disease_outcome	host_disease_stage	host_health_state	host_sex	id_method
Monkeypox virus	WRAIR 7-61	Viruses; Varidnaviria; Bamfordvirae; Nucleocytoviricota; Pokkesviricetes; Chitovirales; Poxviridae; Chordopoxvirinae; Orthopoxvirus	10244	ARGOS_000091	v1.6	PRJNA231221	SAMN11077999	FDAARGOS_854	SRR10027401	GCA_006458845.1	Pathogen: clinical or host-associated sample from Monkeypox virus	Illumina MiSeq	WRAIR 7-61	BEI Resources/American Type and Culture Collection (ATCC)	missing	USA:MD	scab from female monkey (Macaca fascicularis)	not applicable	FDA:FDAARGOS_854	BEI strain			Monkeypox Virus Disease					RT-PCR and amplicon sequencing
Clostridium perfringens	Not applicable	Bacteria; Bacillota; Clostridia; Eubacteriales; Clostridiaceae; Clostridium	1502	ARGOS_000091	v1.6	PRJNA231221	SAMN13450462	FDAARGOS_932	SRR12046747	GCF_016117735.1	Pathogen: clinical or host-associated sample from Clostridium perfringens	Illumina HiSeq 4000	Not applicable	DSMZ	Unknown	Not applicable	missing	Not applicable	DSM:30770	missing	Unknown	Not applicable	Unknown	Unknown	Unknown	Unknown	Unknown	Phenotypic and Molecular Methods
Clostridium perfringens	Not applicable	Bacteria; Bacillota; Clostridia; Eubacteriales; Clostridiaceae; Clostridium	1502	ARGOS_000091	v1.6	PRJNA231221	SAMN13450462	FDAARGOS_932	SRR12046746	GCF_016117735.1	Pathogen: clinical or host-associated sample from Clostridium perfringens	PacBio RS	Not applicable	DSMZ	Unknown	Not applicable	missing	Not applicable	DSM:30770	missing	Unknown	Not applicable	Unknown	Unknown	Unknown	Unknown	Unknown	Phenotypic and Molecular Methods
Clostridium perfringens	Not applicable	Bacteria; Bacillota; Clostridia; Eubacteriales; Clostridiaceae; Clostridium	1502	ARGOS_000091	v1.6	PRJNA231221	SAMN13450433	FDAARGOS_903	SRR12045564	GCF_016027375.1	Pathogen: clinical or host-associated sample from Clostridium perfringens	PacBio RS	Not applicable	DSMZ	Unknown	Not applicable	missing	Not applicable	DSM:756	missing	Unknown	Not applicable	Unknown	Unknown	Unknown	Unknown	Unknown	Phenotypic and Molecular Methods
Clostridium perfringens	Not applicable	Bacteria; Bacillota; Clostridia; Eubacteriales; Clostridiaceae; Clostridium	1502	ARGOS_000091	v1.6	PRJNA231221	SAMN13450433	FDAARGOS_903	SRR12045563	GCF_016027375.1	Pathogen: clinical or host-associated sample from Clostridium perfringens	Illumina HiSeq 4000	Not applicable	DSMZ	Unknown	Not applicable	missing	Not applicable	DSM:756	missing	Unknown	Not applicable	Unknown	Unknown	Unknown	Unknown	Unknown	Phenotypic and Molecular Methods
Clostridium perfringens	Not applicable	Bacteria; Bacillota; Clostridia; Eubacteriales; Clostridiaceae; Clostridium	1502	ARGOS_000091	v1.6	PRJNA231221	SAMN13450461	FDAARGOS_931	SRR12046730	GCF_016026675.1	Pathogen: clinical or host-associated sample from Clostridium perfringens	PacBio RS	Not applicable	DSMZ	Unknown	Not applicable	missing	Not applicable	DSM:29991	missing	Unknown	Not applicable	Unknown	Unknown	Unknown	Unknown	Unknown	Phenotypic and Molecular Methods
Clostridium perfringens	Not applicable	Bacteria; Bacillota; Clostridia; Eubacteriales; Clostridiaceae; Clostridium	1502	ARGOS_000091	v1.6	PRJNA231221	SAMN13450461	FDAARGOS_931	SRR12046731	GCF_016026675.1	Pathogen: clinical or host-associated sample from Clostridium perfringens	Illumina HiSeq 4000	Not applicable	DSMZ	Unknown	Not applicable	missing	Not applicable	DSM:29991	missing	Unknown	Not applicable	Unknown	Unknown	Unknown	Unknown	Unknown	Phenotypic and Molecular Methods
Clostridium perfringens	Not applicable	Bacteria; Bacillota; Clostridia; Eubacteriales; Clostridiaceae; Clostridium	1502	ARGOS_000091	v1.6	PRJNA231221	SAMN13450435	FDAARGOS_905	SRR12045576	GCF_016026995.1	Pathogen: clinical or host-associated sample from Clostridium perfringens	Illumina HiSeq 4000	Not applicable	DSMZ	Unknown	Not applicable	missing	Not applicable	DSM:628	missing	Unknown	Not applicable	Unknown	Unknown	Unknown	Unknown	Unknown	Phenotypic and Molecular Methods
Clostridium perfringens	Not applicable	Bacteria; Bacillota; Clostridia; Eubacteriales; Clostridiaceae; Clostridium	1502	ARGOS_000091	v1.6	PRJNA231221	SAMN13450435	FDAARGOS_905	SRR12045575	GCF_016026995.1	Pathogen: clinical or host-associated sample from Clostridium perfringens	PacBio RS	Not applicable	DSMZ	Unknown	Not applicable	missing	Not applicable	DSM:628	missing	Unknown	Not applicable	Unknown	Unknown	Unknown	Unknown	Unknown	Phenotypic and Molecular Methods
Clostridium perfringens	Not applicable	Bacteria; Bacillota; Clostridia; Eubacteriales; Clostridiaceae; Clostridium	1502	ARGOS_000091	v1.6	PRJNA231221	SAMN13450434	FDAARGOS_904	SRR12045573	GCF_016027155.1	Pathogen: clinical or host-associated sample from Clostridium perfringens	Illumina HiSeq 4000	Not applicable	DSMZ	Unknown	Not applicable	missing	Not applicable	DSM:798	missing	Unknown	Not applicable	Unknown	Unknown	Unknown	Unknown	Unknown	Phenotypic and Molecular Methods
