#BioSample	Isolate
SAMN33578727	PDT001653942.1
SAMN33578704	PDT001653967.1
SAMN33830148	PDT001664191.1
SAMN33830147	PDT001664192.1
SAMN33830146	PDT001664193.1
SAMN33830145	PDT001664194.1
SAMN33830144	PDT001664195.1
SAMN33830143	PDT001664196.1
SAMN33830142	PDT001664197.1
SAMN33830141	PDT001664198.1
SAMN33830150	PDT001664199.1
SAMN33830149	PDT001664200.1
SAMN33830140	PDT001664201.1
SAMN33830139	PDT001664202.1
SAMN33578664	PDT001653971.1
SAMN33578759	PDT001653976.1
SAMN33578765	PDT001654008.1
SAMN33578755	PDT001653911.1
SAMN33578753	PDT001653913.1
SAMN33578752	PDT001653914.1
SAMN33578751	PDT001653915.1
SAMN33578670	PDT001653916.1
SAMN33578750	PDT001653917.1
SAMN33578747	PDT001653920.1
SAMN33578746	PDT001653921.1
SAMN33578745	PDT001653922.1
SAMN33578744	PDT001653923.1
SAMN33578741	PDT001653926.1
SAMN33578739	PDT001653929.1
SAMN33578737	PDT001653931.1
SAMN33578736	PDT001653932.1
SAMN33578735	PDT001653933.1
SAMN33578733	PDT001653935.1
SAMN33578729	PDT001653940.1
SAMN33578725	PDT001653944.1
SAMN33578721	PDT001653948.1
SAMN33578667	PDT001653949.1
SAMN33578720	PDT001653950.1
SAMN33578719	PDT001653951.1
SAMN33578716	PDT001653954.1
SAMN33578715	PDT001653955.1
SAMN33578714	PDT001653956.1
SAMN33578713	PDT001653957.1
SAMN33578712	PDT001653958.1
SAMN33578711	PDT001653959.1
SAMN33578665	PDT001653960.1
SAMN33578709	PDT001653962.1
SAMN33578705	PDT001653966.1
SAMN33578702	PDT001653969.1
SAMN33578701	PDT001653970.1
SAMN33578700	PDT001653972.1
SAMN33578699	PDT001653973.1
SAMN33578758	PDT001653977.1
SAMN33578696	PDT001653981.1
SAMN33578694	PDT001653983.1
SAMN33578693	PDT001653984.1
SAMN33578663	PDT001653987.1
SAMN33578689	PDT001653989.1
SAMN33578687	PDT001653991.1
SAMN33578686	PDT001653992.1
SAMN33578685	PDT001653993.1
SAMN33578684	PDT001653994.1
SAMN33578683	PDT001653995.1
SAMN33578682	PDT001653996.1
SAMN33578662	PDT001653998.1
SAMN33578680	PDT001653999.1
SAMN33578679	PDT001654000.1
SAMN33578677	PDT001654002.1
SAMN33578676	PDT001654003.1
SAMN33578674	PDT001654005.1
SAMN33578754	PDT001653912.1
SAMN33578749	PDT001653918.1
SAMN33578748	PDT001653919.1
SAMN33578743	PDT001653924.1
SAMN33578742	PDT001653925.1
SAMN33578669	PDT001653927.1
SAMN33578740	PDT001653928.1
SAMN33578738	PDT001653930.1
SAMN33578734	PDT001653934.1
SAMN33578732	PDT001653936.1
SAMN33578731	PDT001653937.1
SAMN33578668	PDT001653938.1
SAMN33578730	PDT001653939.1
SAMN33578728	PDT001653941.1
SAMN33578726	PDT001653943.1
SAMN33578724	PDT001653945.1
SAMN33578722	PDT001653947.1
SAMN33578718	PDT001653952.1
SAMN33578717	PDT001653953.1
SAMN33578710	PDT001653961.1
SAMN33578708	PDT001653963.1
SAMN33578707	PDT001653964.1
SAMN33578706	PDT001653965.1
SAMN33578703	PDT001653968.1
SAMN33578698	PDT001653974.1
SAMN33578757	PDT001653978.1
SAMN33578756	PDT001653979.1
SAMN33578697	PDT001653980.1
SAMN33578695	PDT001653982.1
SAMN33578692	PDT001653985.1
SAMN33578691	PDT001653986.1
SAMN33578690	PDT001653988.1
SAMN33578681	PDT001653997.1
SAMN33578678	PDT001654001.1
SAMN33578672	PDT001654007.1
SAMN33578660	PDT001654015.1
SAMN33578760	PDT001653975.1
SAMN33578688	PDT001653990.1
SAMN33578764	PDT001654009.1
SAMN33578763	PDT001654010.1
SAMN33578762	PDT001654011.1
SAMN33578761	PDT001654012.1
SAMN33578661	PDT001654014.1
SAMN16357271	PDT000945189.2
SAMN20888884	PDT001129059.1
SAMN22091645	PDT001169432.1
SAMN22091646	PDT001169434.1
SAMN22091644	PDT001169436.1
SAMN16357189	PDT000924377.2
SAMN16357244	PDT000924384.2
SAMN16357190	PDT000924392.2
SAMN13450435	PDT000916339.1
SAMN13450462	PDT000920805.1
SAMN16357285	PDT000939901.1
SAMN11056399	PDT000641137.2
SAMN13450416	PDT000918428.2
SAMN13450415	PDT000918430.2
SAMN03996261	PDT000292083.2
SAMN04875587	PDT000202867.3
SAMN11056359	PDT000596399.2
SAMN20888900	PDT001129061.1
SAMN20888899	PDT001129062.1
SAMN11056388	PDT000721759.1
SAMN07312409	PDT000246723.1
SAMN16357254	PDT000939886.1
SAMN03996320	PDT000100495.2
SAMN03996328	PDT000106722.2
SAMN21402699	PDT001150679.1
SAMN16357598	PDT001078378.1
SAMN10163222	PDT000410615.2
SAMN16357249	PDT000939622.1
SAMN07312414	PDT000254972.2
SAMN03996323	PDT000106721.3
SAMN11056489	PDT000531885.2
SAMN16357278	PDT000939903.1
SAMN13450424	PDT000916342.1
SAMN16357161	PDT000920806.1
SAMN16357223	PDT000924535.1
SAMN16357279	PDT000939902.1
SAMN16357338	PDT000965971.1
SAMN04875549	PDT000198596.3
SAMN13450434	PDT000916340.1
SAMN13450433	PDT000916341.1
SAMN13450461	PDT000916338.1
SAMN11056494	PDT000526967.1
SAMN04875580	PDT000198597.3
SAMN10163206	PDT000410622.2
SAMN11056385	PDT000596391.2
SAMN16357592	PDT001078324.1
SAMN16357248	PDT000939017.1
SAMN02934535	PDT000044231.2
SAMN02934516	PDT000044241.2
SAMN02934509	PDT000044248.2
SAMN04875588	PDT000221672.1
SAMN16357226	PDT000920808.1
SAMN16357293	PDT000939019.1
SAMN16357294	PDT000939020.1
SAMN16357292	PDT000945185.2
