Abiotrophia defectiva
Achromobacter deleyi
Achromobacter insolitus
Achromobacter pestifer
Acidaminococcus fermentans
Acinetobacter baumannii
Acinetobacter calcoaceticus
Acinetobacter johnsonii
Acinetobacter lwoffii
Acinetobacter nosocomialis
Acinetobacter pittii
Acinetobacter radioresistens
Acinetobacter seifertii
Acinetobacter septicus
Acinetobacter ursingii
Acinetobacter variabilis
Actinomyces naeslundii
Actinomyces oris
Aerococcus urinae
Aerococcus viridans
Aeromonas enteropelogenes
Aeromonas hydrophila
Aeromonas jandaei
Agrobacterium pusense
Bacillus anthracis
Bacillus cereus
Bacillus licheniformis
Bacillus mycoides
Bacillus sp.
Bacillus thuringiensis
Bacillus tropicus
Bacteroides caccae
Bacteroides cellulosilyticus
Bacteroides eggerthii
Bacteroides fragilis
Bacteroides nordii
Bacteroides ovatus
Bacteroides thetaiotaomicron
Bacteroides uniformis
Bartonella bacilliformis
Bartonella henselae
Bartonella henselae str. Houston-1
Bifidobacterium breve
Blautia massiliensis
Bordetella bronchiseptica
Bordetella hinzii
Bordetella holmesii
Bordetella parapertussis
Bordetella pertussis
Borreliella burgdorferi
Brevundimonas diminuta
Brevundimonas vesicularis
Brucella anthropi
Brucella canis
Budvicia aquatica
Burkholderia ambifaria
Burkholderia cenocepacia
Burkholderia cepacia
Burkholderia dolosa
Burkholderia gladioli
Burkholderia gladioli pv. gladioli
Burkholderia glumae
Burkholderia humptydooensis
Burkholderia mallei
Burkholderia multivorans
Burkholderia oklahomensis
Burkholderia plantarii
Burkholderia pseudomallei
Burkholderia thailandensis
Burkholderia vietnamiensis
Butyricimonas virosa
Campylobacter coli
Campylobacter curvus
Campylobacter fetus subsp. testudinum
Campylobacter gracilis
Campylobacter hominis
Campylobacter jejuni
Campylobacter lari
Campylobacter rectus
Campylobacter upsaliensis
Campylobacter ureolyticus
Candida albicans
Candida parapsilosis
Candidozyma auris
Capnocytophaga ochracea
Capnocytophaga sp.
Cedecea neteri
Cedecea sp.
Chryseobacterium arthrosphaerae
Chryseobacterium gallinarum
Chryseobacterium gleum
Chryseobacterium indologenes
Chryseobacterium sp.
Citrobacter amalonaticus
Citrobacter braakii
Citrobacter farmeri
Citrobacter freundii
Citrobacter koseri
Citrobacter pasteurii
Citrobacter portucalensis
Citrobacter sp.
Citrobacter werkmanii
Clavispora lusitaniae
Clostridioides difficile
Clostridium perfringens
