assembled_genome_acc	organism_name	infraspecific_name	genome_assembly_id	lineage	taxonomy_id	bco_id	schema_version	analysis_platform	analysis_platform_object_id	ngs_read_file_source	genomic_section	num_chromosomes	num_genes	num_segments	assembly_gc_content	length	genome_coverage	n50	n75	n90	l50	l75	ref_genome_acc	query_coverage_against_reference	percent_identity_against_reference	percent_reads_unaligned	assembly_type	assembly_level	assembly_score	reference_coverage_against_query
NZ_JAIWZI010000003.1	Bacteroides fragilis	strain=FDAARGOS_1515	GCA_020297585.1	cellular organisms; Bacteria; FCB group; Bacteroidetes/Chlorobi group; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides	817	ARGOS_000038	v1.0	NCBI	11093431	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/020/297/585/GCA_020297585.1_ASM2029758v1_genomic.gbff.gz	ctg.s2.000022F_arrow_pilon	0	-	7	-	-	-	-	-	-	-	-	GCF_020297585.1	-	-	-	haploid	Contig	-	-
NZ_JAIWZI010000004.1	Bacteroides fragilis	strain=FDAARGOS_1515	GCA_020297585.1	cellular organisms; Bacteria; FCB group; Bacteroidetes/Chlorobi group; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides	817	ARGOS_000038	v1.0	NCBI	11093431	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/020/297/585/GCA_020297585.1_ASM2029758v1_genomic.gbff.gz	ctg.s2.000023F_arrow_pilon	0	-	7	-	-	-	-	-	-	-	-	GCF_020297585.1	-	-	-	haploid	Contig	-	-
NZ_JAIWZI010000005.1	Bacteroides fragilis	strain=FDAARGOS_1515	GCA_020297585.1	cellular organisms; Bacteria; FCB group; Bacteroidetes/Chlorobi group; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides	817	ARGOS_000038	v1.0	NCBI	11093431	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/020/297/585/GCA_020297585.1_ASM2029758v1_genomic.gbff.gz	NODE_20_length_5672_cov_569.216265_trim	0	-	7	-	-	-	-	-	-	-	-	GCF_020297585.1	-	-	-	haploid	Contig	-	-
NZ_JAIWZI010000006.1	Bacteroides fragilis	strain=FDAARGOS_1515	GCA_020297585.1	cellular organisms; Bacteria; FCB group; Bacteroidetes/Chlorobi group; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides	817	ARGOS_000038	v1.0	NCBI	11093431	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/020/297/585/GCA_020297585.1_ASM2029758v1_genomic.gbff.gz	NODE_21_length_4077_cov_1311.276750_trim	0	-	7	-	-	-	-	-	-	-	-	GCF_020297585.1	-	-	-	haploid	Contig	-	-
NZ_JAIWZI010000007.1	Bacteroides fragilis	strain=FDAARGOS_1515	GCA_020297585.1	cellular organisms; Bacteria; FCB group; Bacteroidetes/Chlorobi group; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides	817	ARGOS_000038	v1.0	NCBI	11093431	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/020/297/585/GCA_020297585.1_ASM2029758v1_genomic.gbff.gz	NODE_18_length_6872_cov_562.722149_trim	0	-	7	-	-	-	-	-	-	-	-	GCF_020297585.1	-	-	-	haploid	Contig	-	-
NZ_JAIWZI010000001.1	Bacteroides fragilis	strain=FDAARGOS_1515	GCA_020297585.1	cellular organisms; Bacteria; FCB group; Bacteroidetes/Chlorobi group; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides	817	ARGOS_000038	v1.0	NCBI	11093431	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/020/297/585/GCA_020297585.1_ASM2029758v1_genomic.gbff.gz	ctg.s1.000000F_arrow_pilon	0	-	7	-	-	-	-	-	-	-	-	GCF_020297585.1	-	-	-	haploid	Contig	-	-
NZ_JAIWZI010000002.1	Bacteroides fragilis	strain=FDAARGOS_1515	GCA_020297585.1	cellular organisms; Bacteria; FCB group; Bacteroidetes/Chlorobi group; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides	817	ARGOS_000038	v1.0	NCBI	11093431	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/020/297/585/GCA_020297585.1_ASM2029758v1_genomic.gbff.gz	ctg.s1.000001F_arrow_pilon	0	-	7	-	-	-	-	-	-	-	-	GCF_020297585.1	-	-	-	haploid	Contig	-	-
NZ_JAIWZK010000007.1	Bacteroides fragilis	strain=FDAARGOS_1513	GCA_020297545.1	cellular organisms; Bacteria; FCB group; Bacteroidetes/Chlorobi group; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides	817	ARGOS_000038	v1.0	NCBI	11093421	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/020/297/545/GCA_020297545.1_ASM2029754v1_genomic.gbff.gz	000006F_arrow_pilon	0	-	9	-	-	-	-	-	-	-	-	GCF_020297545.1	-	-	-	haploid	Contig	-	-
NZ_JAIWZK010000008.1	Bacteroides fragilis	strain=FDAARGOS_1513	GCA_020297545.1	cellular organisms; Bacteria; FCB group; Bacteroidetes/Chlorobi group; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides	817	ARGOS_000038	v1.0	NCBI	11093421	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/020/297/545/GCA_020297545.1_ASM2029754v1_genomic.gbff.gz	NODE_31_length_5671_cov_723.051662_trim	0	-	9	-	-	-	-	-	-	-	-	GCF_020297545.1	-	-	-	haploid	Contig	-	-
NZ_JAIWZK010000009.1	Bacteroides fragilis	strain=FDAARGOS_1513	GCA_020297545.1	cellular organisms; Bacteria; FCB group; Bacteroidetes/Chlorobi group; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides	817	ARGOS_000038	v1.0	NCBI	11093421	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/020/297/545/GCA_020297545.1_ASM2029754v1_genomic.gbff.gz	NODE_33_length_4225_cov_1454.622228_trim	0	-	9	-	-	-	-	-	-	-	-	GCF_020297545.1	-	-	-	haploid	Contig	-	-
