organism_name	infraspecific_name	lineage	genome_assembly_id	taxonomy_id	sra_run_id	bco_id	schema_version	analysis_platform	analysis_platform_object_id	bioproject	biosample	strain	ngs_read_file_name	ngs_read_file_source	ngs_gc_content	n_content	avg_phred_score	avg_read_length	max_read_length	min_read_length	num_reads_unique	pos_outlier_count	codon_table	percent_coding	percent_not_coding	density_n_per_read	complexity_percent	non_complex_percent	avg_quality_a	avg_quality_t	avg_quality_g	avg_quality_c	count_a	count_t	count_g	count_c	count_n	instrument	id_method	wgs_accession	strategy	ngs_score
Zika virus	ZIKV	Viruses; Riboviria; Orthornavirae; Kitrinoviricota; Flasuviricetes; Amarillovirales; Flaviviridae; Flavivirus	NA	64320	SRR9107811	ARGOS_000009	v1.4	ILLUMINA	IL100100209_M00708_20180406_L1_experiment	PRJNA231221	SRS4804993	FDAARGOS_835	SRR9107811	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR9107811/SRR9107811	45.57	2.50E-07	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.12E+08	1.05E+08	91702479	90699032	1	ILLUMINA	Phenotypic and Molecular Methods	NA	WGS	NA
Staphylococcus aureus	SCCmec1; HAR21	cellular organisms; Bacteria; Terrabacteria group; Bacillota; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus	NA	1280	SRR1955879	ARGOS_000009	v1.4	ILLUMINA	IL100040311_SN180_20131217_L8_experiment	PRJNA231221	SRS896171	FDAARGOS_45	SRR1955879	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR1955879/SRR1955879	32.41	0.018828	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.28E+08	5.25E+08	2.53E+08	2.53E+08	293578	ILLUMINA	phenotypic identification	NA	WGS	NA
Escherichia coli	PEI-B-P-19	cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia	NA	562	SRR12931595	ARGOS_000009	v1.4	ILLUMINA	IL100137969_K00134_20190912_L8_experiment	PRJNA231221	SRS7614662	FDAARGOS_1077	SRR12931595	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR12931595/SRR12931595	50.26	0.004663	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.53E+08	6.51E+08	6.61E+08	6.57E+08	122268	ILLUMINA	Phenotypic and Molecular Methods	NA	WGS	NA
Achromobacter denitrificans	DSM 4612	cellular organisms; Bacteria; Pseudomonadota; Betaproteobacteria; Burkholderiales; Alcaligenaceae; Achromobacter	NA	32002	SRR9668055	ARGOS_000009	v1.4	ILLUMINA	IL100101440_K00134_20180502_L3_experiment	PRJNA231221	SRS5083876	FDAARGOS_788	SRR9668055	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR9668055/SRR9668055	66.9	0.005056	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.92E+08	4.90E+08	9.93E+08	9.93E+08	150142	ILLUMINA	Phenotypic and Molecular Methods	NA	WGS	NA
Stenotrophomonas maltophilia		cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Xanthomonadales; Xanthomonadaceae; Stenotrophomonas; Stenotrophomonas maltophilia group	NA	40324	SRR8179758	ARGOS_000009	v1.4	PACBIO_SMRT	PL100072413-1_RS42150_20160802_A01-1_experiment	PRJNA231221	SRS4034685	FDAARGOS_508	SRR8179758	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR8179758/SRR8179758	63.68	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.56E+08	2.38E+08	4.25E+08	4.43E+08	0	PACBIO_SMRT	Phenotypic and Molecular Methods	NA	WGS	NA
Escherichia coli	EcVA0008	cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia	NA	562	SRR13673900	ARGOS_000009	v1.4	PACBIO_SMRT	PL100141808-1_S54024R1_20200305_C01_bc1009-bc1009_experiment	PRJNA231221	SRS8225529	FDAARGOS_1304	SRR13673900	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR13673900/SRR13673900	50.29	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.50E+08	1.62E+08	1.56E+08	1.60E+08	0	PACBIO_SMRT	Phenotypic and Molecular Methods	NA	WGS	NA
Zika virus	ZIKV	Viruses; Riboviria; Orthornavirae; Kitrinoviricota; Flasuviricetes; Amarillovirales; Flaviviridae; Flavivirus	NA	64320	SRR9107805	ARGOS_000009	v1.4	ILLUMINA	IL100100211_M00708_20180406_L1_experiment	PRJNA231221	SRS4804990	FDAARGOS_837	SRR9107805	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR9107805/SRR9107805	48.6	2.08E-07	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.27E+08	1.20E+08	1.18E+08	1.16E+08	1	ILLUMINA	Phenotypic and Molecular Methods	NA	WGS	NA
Corynebacterium riegelii	DSM 44326	cellular organisms; Bacteria; Terrabacteria group; Actinomycetota; Actinomycetes; Corynebacteriales; Corynebacteriaceae; Corynebacterium	NA	156976	SRR12936588	ARGOS_000009	v1.4	ILLUMINA	IL100141155_K00134_20190920_L8_experiment	PRJNA231221	SRS7617962	FDAARGOS_1114	SRR12936588	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR12936588/SRR12936588	59.94	0.010175	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.98E+08	4.93E+08	7.40E+08	7.43E+08	251738	ILLUMINA	Phenotypic and Molecular Methods	NA	WGS	NA
Staphylococcus aureus	non-pigmented; RN0450 re-lysogenized with ?11; NRS136; NCTC8325 (RN0451)	cellular organisms; Bacteria; Terrabacteria group; Bacillota; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus	NA	1280	SRR1955845	ARGOS_000009	v1.4	ILLUMINA	IL100040297_SN180_20131217_L8_experiment	PRJNA231221	SRS896149	FDAARGOS_31	SRR1955845	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR1955845/SRR1955845	32.44	0.019297	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.78E+08	4.76E+08	2.29E+08	2.29E+08	272658	ILLUMINA	phenotypic identification	NA	WGS	NA
Klebsiella variicola		cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Klebsiella/Raoultella group; Klebsiella	NA	244366	SRR8984901	ARGOS_000009	v1.4	ILLUMINA	IL100080263_K00134_20170203_L2_experiment	PRJNA231221	SRS4698561	FDAARGOS_628	SRR8984901	https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR8984901/SRR8984901	57.01	0.008559	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.32E+08	6.29E+08	8.37E+08	8.35E+08	251127	ILLUMINA	Phenotypic and Molecular Methods	NA	WGS	NA
