organism_name	infraspecific_name	assembled_genome_acc	genome_assembly_id	representative_genome_acc	representative_genome_org	representative_genome_uniprot_acc	lineage	taxonomy_id	bco_id	schema_version	analysis_platform	analysis_platform_object_id	assembly_file_source	genomic_section	num_chromosomes	num_genes	assembly_gc_content	length	size_gaps	size_contigs	contig_percentile	contig_momentum	coverage_contigs	cnt_contigs	coverage_gaps	cnt_gaps	gap_percentile	genome_coverage	n50	n75	n90	n95	l50	l75	l90	l95	phred_average	count_major_mutations	count_major_indels	mutation_momentum	indels_momentum	major_mutation_momentum	major_indels_momentum	alignment_anisotropy	overhang_momentum	aligned_momentum	entropic_momentum	reads_unaligned	percent_reads_unaligned	percent_reads_aligned	reads_aligned	assembly_level	rpkm
Actinomyces naeslundii		NZ_CP066049	GCF_016127855.1	GCF_000285995.1	Actinomyces naeslundii (strain ATCC 12104 / DSM 43013 / CCUG 2238 / JCM 8349 / NCTC 10301 / Howell 279)	UP000007814	Bacteria; Bacillati; Actinomycetota; Actinomycetes; Actinomycetales; Actinomycetaceae; Actinomyces	1655	ARGOS_000089	v1.6	HIVE	280106	NCBI	chromosome	1.00	2,670	67.88%	3152123	0	3152123	100.00%	379.226699	379.000	1.000	0.000	0.000	0.00%	379.000	3152123.00	3152123.00	3152123.00	3152123.00	1.00	1.00	1.00	1.00	31.81	0.00	3.00	0.01	0.00	0.00	0.64	36.29	164.70	0.72	0.92	645301	6.38%	93.62%	9473896	Complete Genome	317.246503
Aerococcus urinae		NZ_CP065662	GCF_016026975.1	GCF_000193205.1	Aerococcus urinae (strain CCUG 59500 / ACS-120-V-Col10a)	UP000008129	Bacteria; Bacillati; Bacillota; Bacilli; Lactobacillales; Aerococcaceae; Aerococcus	1376	ARGOS_000089	v1.6	HIVE	280135	NCBI	chromosome	1	1,813	42.59%	1974256	0	1974256	100.00%	746.005074	746	1	0	0	0.00%	746	1974256	1974256	1974256	1974256	1	1	1	1	33.331949	0	2	0.012597	0.001621	0	0.668216	36.315469	86.911757	0.733754	0.94967	691491	4.64%	95.36%	14220303	Complete Genome	506.519924
Aerococcus viridans		NZ_NBTM02000001	GCF_002083135.2	GCF_001806975.1	Aerococcus sp HMSC10H05.	UP000177048	Bacteria; Bacillati; Bacillota; Bacilli; Lactobacillales; Aerococcaceae; Aerococcus	1377	ARGOS_000089	v1.6	HIVE	280139	NCBI	contig	0	1,855	39.57%	2003760	0	2003760	100.00%	939.433165	939	1	0	0	0.00%	939	2003760	2003760	2003760	2003760	1	1	1	1	32.813964	0	17	0.011426	0.006372	0	0.783713	36.344867	229.302695	0.739895	0.909906	669670	3.17%	96.83%	20439409	Contig	499.061764
Aeromonas jandaei		NZ_CP066092	GCF_016127195.1	GCF_000687355.2	Aeromonas enteropelogenes (Aeromonas trota)	UP000078435	Bacteria; Pseudomonadati; Pseudomonadota; Gammaproteobacteria; Aeromonadales; Aeromonadaceae; Aeromonas	650	ARGOS_000089	v1.6	HIVE	280159	NCBI	chromosome	1	4,261	59.03%	4551079	0	4551079	100.00%	472.229476	472	1	0	0	0.00%	472	4551079	4551079	4551079	4551079	1	1	1	1	33.483815	1	2	0.01054	3.07E-03	0.9822	0.581952	36.322449	157.802435	0.771773	0.93871	1208171	6.05%	93.95%	18773044	Complete Genome	219.728113
Agrobacterium pusense		NZ_JABRWL010000004	GCF_013267135.1	GCF_000499645.1	Agrobacterium pusense	UP000016944	Bacteria; Pseudomonadati; Pseudomonadota; Alphaproteobacteria; Hyphomicrobiales; Rhizobiaceae; Rhizobium/Agrobacterium group; Agrobacterium	648995	ARGOS_000089	v1.6	HIVE	280309	NCBI	plasmid unnamed4	2	5,928	55.12%	73702	0	73702	100.00%	1284.87794	1284	1	0	0	0.00%	1284	73702	73702	73702	73702	1	1	1	1	35.251201	0	0	0.004655	1.50E-05	0	0	36.359271	0.668342	0.785134	0.946962	1121754	1.66%	2.52%	1706367	Complete Genome	347.599941
Agrobacterium pusense		NZ_JABRWL010000003	GCF_013267135.1	GCF_000499645.1	Agrobacterium pusense	UP000016944	Bacteria; Pseudomonadati; Pseudomonadota; Alphaproteobacteria; Hyphomicrobiales; Rhizobiaceae; Rhizobium/Agrobacterium group; Agrobacterium	648995	ARGOS_000089	v1.6	HIVE	280309	NCBI	plasmid unnamed3	2	5,928	58.76%	419173	0	419173	100.00%	873.600733	873	1	0	0	0.00%	873	419173	419173	419173	419173	1	1	1	1	33.94368	0	0	0.004754	0.000232	0	0	36.367311	8.35033	0.791707	0.927205	1121754	1.66%	6.60%	4470154	Complete Genome	160.108986
Agrobacterium pusense		NZ_JABRWL010000002	GCF_013267135.1	GCF_000499645.1	Agrobacterium pusense	UP000016944	Bacteria; Pseudomonadati; Pseudomonadota; Alphaproteobacteria; Hyphomicrobiales; Rhizobiaceae; Rhizobium/Agrobacterium group; Agrobacterium	648995	ARGOS_000089	v1.6	HIVE	280309	NCBI	plasmid unnamed2	2	5,928	61.44%	40986	0	40986	100.00%	1268.28566	1268	1	0	0	0.00%	1268	40986	40986	40986	40986	1	1	1	1	34.9442	0	0	0.005357	0.00001	0	0	36.343508	0.557363	0.769786	0.940554	1121754	1.66%	1.41%	955845	Complete Genome	350.137366
Agrobacterium pusense		NZ_JABRWL010000001	GCF_013267135.1	GCF_000499645.1	Agrobacterium pusense	UP000016944	Bacteria; Pseudomonadati; Pseudomonadota; Alphaproteobacteria; Hyphomicrobiales; Rhizobiaceae; Rhizobium/Agrobacterium group; Agrobacterium	648995	ARGOS_000089	v1.6	HIVE	280309	NCBI	plasmid unnamed1	2	5,928	57.89%	342579	0	342579	100.00%	900.553755	900	1	0	0	0.00%	900	342579	342579	342579	342579	1	1	1	1	34.138698	0	0	0.004626	0.000173	0	0	36.346834	6.010571	0.78758	0.927672	1121754	1.66%	5.71%	3864291	Complete Genome	169.354059
Agrobacterium pusense		NZ_JABRWL010000006	GCF_013267135.1	GCF_000499645.1	Agrobacterium pusense	UP000016944	Bacteria; Pseudomonadati; Pseudomonadota; Alphaproteobacteria; Hyphomicrobiales; Rhizobiaceae; Rhizobium/Agrobacterium group; Agrobacterium	648995	ARGOS_000089	v1.6	HIVE	280309	NCBI	chromosome	2	5,928	59.01%	2113553	0	2113553	100.00%	877.374536	877	1	0	0	0.00%	877	2113553	2113553	2113553	2113553	1	1	1	1	34.697107	0	1	0.004042	0.000746	0	0.550847	36.345502	24.183756	0.82505	0.938746	1121754	1.66%	33.90%	22959539	Complete Genome	163.093459
Agrobacterium pusense		NZ_JABRWL010000005	GCF_013267135.1	GCF_000499645.1	Agrobacterium pusense	UP000016944	Bacteria; Pseudomonadati; Pseudomonadota; Alphaproteobacteria; Hyphomicrobiales; Rhizobiaceae; Rhizobium/Agrobacterium group; Agrobacterium	648995	ARGOS_000089	v1.6	HIVE	280309	NCBI	chromosome	2	5,928	59.38%	3160862	0	3160862	100.00%	840.693808	840	1	0	0	0.00%	840	3160862	3160862	3160862	3160862	1	1	1	1	34.893199	0	0	0.003764	0.000959	0	0	36.350589	30.280818	0.834272	0.942078	1121754	1.66%	48.21%	32649823	Complete Genome	155.082152
