organism_name	infraspecific_name	assembled_genome_acc	genome_assembly_id	lineage	taxonomy_id	bco_id	schema_version	analysis_platform	analysis_platform_object_id	assembly_file_source	genomic_section	num_chromosomes	num_genes	num_segments 	assembly_gc_content	length	num_of_frameshifts	num_of_stop_codons	genome_coverage	n50 	n75	n90	l50 	l75	ref_genome_acc	query_coverage_against_reference	reference_coverage_against_query	percent_identity_against_reference	percent_reads_unaligned	assembly_level	assembly_score
Salmonella enterica	Strain=LT2, FDAARGOS_94	NZ_CP014051.2	GCA_001558355.2	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Salmonella; Salmonella enterica	28901	ARGOS_000012	v1.4	HIVE2	50595	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/558/355/GCF_001558355.2_ASM155835v2/	Chromosome	1		 	52.22	4857490				4857490	4857490		1	1	AE006468.2	100	99	100.00	4.6	Complete Genome	26
Salmonella enterica	Strain=LT2, FDAARGOS_94	NZ_CP014050.2	GCA_001558355.2	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Salmonella; Salmonella enterica	28901	ARGOS_000012	v1.4	HIVE2	50595	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/558/355/GCF_001558355.2_ASM155835v2/	pSLT				53.13	93933				93933	93933		1	1	AE006471.2	100	100	100.00	98.96	Complete Genome	24
Marburg marburgvirus	Musoke	NC_001608.3	GCA_000857325.2	Viruses; Riboviria; Orthornavirae; Negarnaviricota; Haploviricotina; Monjiviricetes; Mononegavirales; Filoviridae; Marburgvirus; Marburg marburgvirus	11269	ARGOS_000012	v1.4	HIVE2	50709	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/857/325/GCF_000857325.2_ViralProj15199/	Chromosome	1			38.29	19111				19111	19111		1	1	NC_001608.3	100	100	100.00		Complete Genome	24
Influenza A virus	(A/Puerto Rico/8/1934(H1N1))	NC_002023.1	GCF_000865725.1	Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Insthoviricetes; Articulavirales; Orthomyxoviridae; Alphainfluenzavirus; Influenza A virus (A/Puerto Rico/8/1934(H1N1))	211044	ARGOS_000012	v1.4	HIVE2	50721	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/865/725/GCF_000865725.1_ViralMultiSegProj15521/	PB2			1	43.74	2341				2341	2341		1	1	NC_002023.1	100	100	100.00	0.79	Complete Genome	25
Influenza A virus	(A/Puerto Rico/8/1934(H1N1))	NC_002022.1	GCF_000865725.1	Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Insthoviricetes; Articulavirales; Orthomyxoviridae; Alphainfluenzavirus; Influenza A virus (A/Puerto Rico/8/1934(H1N1))	211044	ARGOS_000012	v1.4	HIVE2	50721	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/865/725/GCF_000865725.1_ViralMultiSegProj15521/	PA			1	42.08	2233				2233	2233		1	1	NC_002022.1	100	100	100.00	0.69	Complete Genome	25
Influenza A virus	(A/Puerto Rico/8/1934(H1N1))	NC_002021.1	GCF_000865725.1	Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Insthoviricetes; Articulavirales; Orthomyxoviridae; Alphainfluenzavirus; Influenza A virus (A/Puerto Rico/8/1934(H1N1))	211044	ARGOS_000012	v1.4	HIVE2	50721	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/865/725/GCF_000865725.1_ViralMultiSegProj15521/	PB1			1	41.96	2341				2341	2341		1	1	NC_002021.1	100	100	100.00	0.76	Complete Genome	25
Influenza A virus	(A/Puerto Rico/8/1934(H1N1))	NC_002020.1	GCF_000865725.1	Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Insthoviricetes; Articulavirales; Orthomyxoviridae; Alphainfluenzavirus; Influenza A virus (A/Puerto Rico/8/1934(H1N1))	211044	ARGOS_000012	v1.4	HIVE2	50721	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/865/725/GCF_000865725.1_ViralMultiSegProj15521/	NS1			1	44.27	890				890	890		1	1	NC_002020.1	100	100	100.00	0.27	Complete Genome	25
Influenza A virus	(A/Puerto Rico/8/1934(H1N1))	NC_002019.1	GCF_000865725.1	Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Insthoviricetes; Articulavirales; Orthomyxoviridae; Alphainfluenzavirus; Influenza A virus (A/Puerto Rico/8/1934(H1N1))	211044	ARGOS_000012	v1.4	HIVE2	50721	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/865/725/GCF_000865725.1_ViralMultiSegProj15521/	NP			1	46.39	1565				1565	1565		1	1	NC_002019.1	100	100	100.00	0.61	Complete Genome	25
Influenza A virus	(A/Puerto Rico/8/1934(H1N1))	NC_002018.1	GCF_000865725.1	Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Insthoviricetes; Articulavirales; Orthomyxoviridae; Alphainfluenzavirus; Influenza A virus (A/Puerto Rico/8/1934(H1N1))	211044	ARGOS_000012	v1.4	HIVE2	50721	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/865/725/GCF_000865725.1_ViralMultiSegProj15521/	NA			1	42.75	1413				1413	1413		1	1	NC_002018.1	100	100	100.00	0.89	Complete Genome	25
Influenza A virus	(A/Puerto Rico/8/1934(H1N1))	NC_002017.1	GCF_000865725.1	Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Insthoviricetes; Articulavirales; Orthomyxoviridae; Alphainfluenzavirus; Influenza A virus (A/Puerto Rico/8/1934(H1N1))	211044	ARGOS_000012	v1.4	HIVE2	50721	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/865/725/GCF_000865725.1_ViralMultiSegProj15521/	HA			1	41.62	1778				1778	1778		1	1	NC_002017.1	100	100	100.00	0.55	Complete Genome	25
