organism_name	lineage	taxonomy_id	bco_id	schema_version	bioproject	biosample	strain	genome_assembly_id	sample_name	instrument	isolate	collected_by	collection_date	geo_loc_name	isolation_source	lat_lon	culture_collection	host	host_age	host_description	host_disease	host_disease_outcome	host_disease_stage	host_health_state	host_sex	id_method	biosample_score
Severe acute respiratory syndrome coronavirus 2	unclassified entries; unclassified sequences; metagenomes; organismal metagenomes	2697049	ARGOS_000020	v1.4	PRJNA603194	SAMN13922059		GCA_009858895.3	Human-BALF	NA			43832	China: Wuhan		not collected		Homo sapiens									NA
Severe acute respiratory syndrome coronavirus 2	Viruses; Riboviria; Orthornavirae; Pisuviricota; Pisoniviricetes; Nidovirales; Cornidovirineae; Coronaviridae; Orthocoronavirinae; Betacoronavirus; Sarbecovirus; Severe acute respiratory syndrome-related coronavirus	2697049	ARGOS_000020	v1.4	PRJNA231221	SAMN32924378		FA01SRR23238509		NA		Helix'	44940	USA: California	nasal swab			Homo sapiens	10		COVID-19				male		NA
Influenza A virus (A/Puerto Rico/8/1934(H1N1))	Viruses; Riboviria; Orthornavirae; Negarnaviricota; Polyploviricotina; Insthoviricetes; Articulavirales; Orthomyxoviridae; Alphainfluenzavirus; Influenza A virus; H1N1 subtype	211044	ARGOS_000020	v1.4	PRJEB12890	SAMEA51847918	0111041v	GCA_000865725.1		NA																	NA
Salmonella enterica	cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Salmonella	28901	ARGOS_000020	v1.4	PRJNA231221	SAMN03996249	FDAARGOS_94	GCA_001558355.2	FDAARGOS_94	NA	Not Applicable	FDA CFSAN <-- NIST <-- ATCC	1948	USA	missing	Not Applicable	FDA:FDAARGOS_94		Not Applicable	Not Applicable		Not Applicable	Not Applicable	Not Applicable	Not Applicable	culture	NA
Salmonella enterica	cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Salmonella	28901	ARGOS_000020	v1.4	PRJNA231221	SAMN03996249	FDAARGOS_94	GCA_001558355.2	FDAARGOS_94	NA	Not Applicable	FDA CFSAN <-- NIST <-- ATCC	1948	USA	missing	Not Applicable	FDA:FDAARGOS_94		Not Applicable	Not Applicable		Not Applicable	Not Applicable	Not Applicable	Not Applicable	culture	NA
Salmonella enterica	cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Salmonella	28901	ARGOS_000020	v1.4	PRJNA231221	SAMN03996249	FDAARGOS_94	GCA_001558355.2	FDAARGOS_94	NA	Not Applicable	FDA CFSAN <-- NIST <-- ATCC	1948	USA	missing	Not Applicable	FDA:FDAARGOS_94		Not Applicable	Not Applicable		Not Applicable	Not Applicable	Not Applicable	Not Applicable	culture	NA
Salmonella enterica	cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Salmonella	28901	ARGOS_000020	v1.4	PRJNA231221	SAMN03996249	FDAARGOS_94	GCA_001558355.2	FDAARGOS_94	NA	Not Applicable	FDA CFSAN <-- NIST <-- ATCC	1948	USA	missing	Not Applicable	FDA:FDAARGOS_94		Not Applicable	Not Applicable		Not Applicable	Not Applicable	Not Applicable	Not Applicable	culture	NA
Salmonella enterica subsp. enterica serovar Ohio	cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Salmonella; Salmonella enterica; Salmonella enterica subsp. enterica	117541	ARGOS_000020	v1.4	PRJNA231221	SAMN06173329	FDAARGOS_316	GCA_002206525.2	FDAARGOS_316	NA	Not Applicable	FDA CVM	2011	USA:NM	pork chop	Not Applicable	FDA:FDAARGOS_316	Environment	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Phenotypic identification	NA
Salmonella enterica subsp. enterica serovar Ohio	cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Salmonella; Salmonella enterica; Salmonella enterica subsp. enterica	117541	ARGOS_000020	v1.4	PRJNA231221	SAMN06173329	FDAARGOS_316	GCA_002206525.2	FDAARGOS_316	NA	Not Applicable	FDA CVM	2011	USA:NM	pork chop	Not Applicable	FDA:FDAARGOS_316	Environment	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Phenotypic identification	NA
Salmonella enterica subsp. enterica serovar Typhimurium var. 5-	cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Salmonella; Salmonella enterica; Salmonella enterica subsp. enterica; Salmonella enterica subsp. enterica serovar Typhimurium	1620419	ARGOS_000020	v1.4	PRJNA231221	SAMN06173325	FDAARGOS_312	GCA_002208965.2	FDAARGOS_312	NA	Not Applicable	FDA CVM	2011	USA:MD	ground turkey	Not Applicable	FDA:FDAARGOS_312	Environment	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Phenotypic identification	NA
